Fe/H,Ba/Fe
-2.37,1.92
-2.14,-0.31
-3.17,-0.86
-2.71,-0.34
-2.52,1.61
-3.36,-0.5
-3.03,-0.14
-2.38,1.18
-2.11,1.74
-2.52,2.74
-2.53,-0.33
-3.3,-1.93
-2.46,-0.14
-2.89,-0.46
-2.64,1.49
-2.91,1.88
-2.41,0.25
-2.77,-0.32
-2.01,0.26
-2.2,1.76
-2.65,2.34
-2.41,-0.65
-3.41,-0.22
-2.69,-0.71
-3.19,-2.11
-3.06,-0.35
-3.53,-0.37
-3.18,-0.25
-4.06,-0.75
-3.49,-0.35
-2.68,0.45
-2.98,-0.51
-3.32,-1.37
-4.41,-1.64
-4.12,-1.01
-2.1,-0.3
-3.31,-0.25
-3.83,-1.17
-3.87,-0.49
-2.35,-0.73
-3.27,-0.43
-3.22,-0.85
-3.44,0.56
-2.81,-0.71
-2.22,-0.47
-2.47,2.21
-2.54,1.79
-3.29,-0.85
-3.24,-0.95
-2.41,-0.19
-2.97,-0.95
-2.43,-0.43
-3.22,-0.91
-2.81,-0.22
-2.49,-0.74
-3.13,-0.68
-2.07,0.09
-1.85,-0.09
-3.67,-0.9
-3.14,0.42
-2.66,1.68
-2.74,-0.89
-2.81,-1.58
-2.59,-0.72
-2.85,0.12
-2.79,-0.8
-2.73,-0.16
-3.64,1.03
-3.91,-1.59
-3.1,0.94
-3.23,-1.31
-1.7,0.24
-2.58,-0.61
-2.55,-0.4
-2.62,-0.57
-3.19,-1.74
-2.92,-1.41
-3.3,-1.36
-2.77,-0.21
-2.27,1.78
-2.9,-0.97
-2.73,-0.21
-3.07,-0.94
-2.58,0.53
-2.6,-0.62
-2.87,-1.05
-2.6,0.32
-3.07,-0.62
-2.46,2.54
-2.61,-0.22
-2.12,-0.51
-2.78,-0.89
-3.03,-0.95
-2.4,-0.42
-2.75,1.8
-2.21,-0.15
-2.87,0.4
-2.26,-0.88
-2.73,-1.42
-2.94,0.59
-1.93,0.24
-2.97,-1.2
-3.02,-1.66
-2.78,-0.24
-2.49,2.23
-2.63,-0.18
-3.38,-1.04
-3.55,-1.45
-2.55,0.64
-4.38,-0.6
-2.78,-0.71
-2.78,0.3
-2.92,-0.32
-3.11,-0.46
-2.82,1.25
-3.43,0.15
-2.58,1.43
-3.87,-1.5
-2.97,-0.87
-2.61,-0.3
-2.56,-0.83
-2.62,-0.16
-2.98,-0.83
-3.19,-0.81
-1.24,-0.09
-2.62,1.05
-2.48,0.01
-3.18,-0.43
-2.92,-0.33
-3.09,0.99
-2.75,-0.52
-2.58,-0.46
-3.2,-0.82
-3.0,-0.4
-1.8,-0.17
-2.0,-0.05
-2.1,1.3
-2.5,-0.89
-2.72,-0.42
-2.0,0
-2.1,-0.15
-2.73,-0.85
-2.27,-0.04
-2.31,-0.25
-2.11,-0.07
-2.06,0.32
-1.4,-0.49
-1.71,0.16
-2.93,-0.67
-1.35,0.09
-2.15,0.02
-2.48,-0.55
-4.28,-0.88
-2.04,-1.78
-1.56,-0.11
-2.36,-0.63
-1.74,0.05
-1.79,-0.2
-1.62,0.43
-1.55,0.17
-1.53,-0.24
-2.52,-0.95
-2.92,-0.8
-3.23,-1.56
-3.23,-0.5
-3.28,-1.02
-3.55,-0.3
-3.23,-0.39
-2.99,-0.71
-3.12,-1.09
-2.85,-0.45
-2.85,-0.59
-3.51,-0.8
-3.1,-0.87
-3.14,-0.14
-2.58,1.53
-2.84,-0.73
-2.75,-0.78
-3.19,-0.33
-2.6,-1.01
-2.31,0.11
-2.76,-0.34
-3.22,-0.35
-1.77,0.04
-1.77,-0.03
-3.93,-1.55
-2.62,-0.27
-2.19,-0.95
-1.99,-0.11
-2.9,1.98
-1.0,0.12
-3.05,-0.88
-2.48,1.52
-3.77,-1.46
-4.59,-1.0
-2.54,-0.45
-3.0,0.77
-0.63,0.09
-2.2,0.26
-1.47,0.06
-2.83,-0.25
-2.62,-0.14
-2.36,-0.17
-2.51,-0.49
-1.52,0.01
-0.72,-0.08
-2.96,0.1
-1.84,-0.17
-1.89,-0.03
-2.26,-0.08
-1.5,0.08
-2.97,-1.13
-1.81,-0.12
-3.29,-0.25
-2.52,-0.76
-1.7,0.05
-2.97,-0.53
-1.0,0.18
-1.0,-0.03
-1.45,-0.04
-1.99,0.11
-2.75,-0.2
-1.69,-0.07
-2.39,1.47
-3.13,-1.03
-1.51,1.73
-1.5,-0.03
-0.28,-0.16
-1.7,0.12
-1.32,-0.06
-1.43,-0.08
-2.23,-0.44
-1.72,-0.04
-2.21,-0.27
-2.17,-0.48
-1.7,0.11
-2.16,0.19
-1.5,0.17
-1.5,0.02
-3.29,-0.86
-0.7,-0.02
-2.8,-0.51
-1.71,-0.12
-1.94,-0.26
-2.45,-0.21
-0.8,0.1
-2.03,-0.11
-2.16,-0.43
-2.86,-1.11
-1.69,-0.34
-1.48,-0.07
-2.39,-0.14
-2.82,0.18
-1.7,-0.06
-1.56,-0.04
-1.02,0.01
-1.4,-0.27
-1.06,0.05
-1.44,0.09
-2.58,-0.74
-1.93,0.17
-1.81,-0.1
-3.29,-0.85
-1.5,0.03
-1.2,0.46
-1.15,-0.15
-3.75,-1.48
-4.08,-0.46
-3.46,-1.22
-3.7,-2.1
-3.32,-1.2
-3.03,0.08
-3.21,-0.9
-1.43,1.93
-3.69,-0.96
-3.54,-0.8
-3.5,-0.83
-2.87,-0.62
-2.89,-1.39
-2.78,-1.28
-2.88,1.68
-3.65,-1.13
-3.0,-0.46
-2.87,-0.93
-2.67,2.23
-3.88,-1.5
-3.67,-1.61
-3.35,-0.58
-3.68,-0.9
-3.41,0.31
-2.64,0.78
-2.23,0.81
-2.6,-0.19
-2.66,0.83
-2.8,-0.59
-2.87,0.27
-2.64,-1.04
-2.53,-0.02
-2.73,-0.45
-2.77,-0.11
-3.64,-1.3
-3.03,-1.18
-2.86,0.06
-3.32,0.02
-2.51,1.61
-2.93,-0.47
-3.17,0.26
-2.85,2.37
-3.43,-0.73
-3.17,-0.85
-2.55,-0.68
-3.12,-0.76
-2.32,-1.21
-2.32,-0.01
-2.56,0.02
-3.17,-1.18
-2.53,0.2
-3.36,-1.06
-3.83,-1.01
-3.03,-0.23
-3.79,-1.64
-3.02,-0.24
-1.59,-0.04
-2.81,-0.23
-2.62,-0.69
-3.11,-0.49
-2.71,0.19
-2.87,-0.91
-3.4,0.38
-2.55,-0.16
-2.63,0.16
-2.22,-0.34
-2.94,-0.27
-3.42,-1.64
-3.37,0.26
-3.71,0.59
-3.26,-0.88
-3.4,-0.28
-3.44,-0.68
-2.33,-0.78
-3.09,-0.39
-2.97,-0.71
-3.2,0.75
-2.5,-0.23
-2.72,-0.35
-2.77,0.84
-3.41,0.41
-2.48,-0.97
-3.18,-1.67
-2.62,-0.31
-2.08,0.25
-3.63,-1.23
-2.4,0.02
-2.64,0.08
-3.11,-0.3
-2.34,-0.23
-3.18,-0.75
-2.99,-1.95
-1.48,0.33
-2.62,-0.66
-1.86,-0.09
-1.98,-0.04
-2.9,-0.68
-2.59,-0.14
-2.1,0.01
-2.62,-0.09
-2.63,0.27
-3.03,-0.51
-2.64,-0.97
-2.52,-0.1
-2.81,-0.25
-3.44,-1.03
-2.35,-0.33
-2.54,-0.35
-2.73,-0.02
-2.56,0.43
-2.76,-0.14
-2.58,-0.2
-2.26,-0.99
-3.15,-0.96
-2.71,-1.22
-2.73,-0.13
-2.61,0.81
-2.79,-0.4
-2.66,0.01
-2.24,0.36
-2.48,0.47
-2.2,-0.2
-3.58,-0.25
-2.5,-0.8
-2.51,-0.29
-2.77,0.06
-2.76,-0.42
-2.17,0.85
-2.46,0.47
-3.0,-0.29
-2.99,-0.48
-3.89,-1.27
-3.65,-1.58
-2.99,-0.86
-3.11,-1.05
-2.4,0.05
-3.33,0.04
-2.62,-0.05
-1.29,-0.1
-2.43,-0.64
-2.31,-0.35
-2.58,-0.01
-3.22,0.02
-3.12,-0.5
-2.61,-1.03
-2.62,-0.37
-1.89,-0.14
-2.4,0.29
-3.41,-0.97
-2.56,0.57
-2.87,-0.27
-2.38,-0.68
-3.48,-1.15
-3.35,-0.35
-2.53,-0.59
-2.75,-0.69
-2.24,1.87
-3.73,-1.81
-3.1,-0.35
-2.75,-0.89
-2.24,-0.53
-3.0,1.1
-3.36,-1.37
-2.98,-1.09
-2.88,-0.38
-2.06,0.74
-2.19,0.46
-2.91,0.81
-3.08,-1.3
-2.67,-0.99
-3.11,-1.03
-2.88,-0.79
-2.42,1.98
-3.18,-0.03
-3.37,-1.0
-3.05,-0.8
-2.59,1.87
-2.0,1.26
-3.01,-0.71
-2.74,1.6
-3.6,-0.85
-2.84,-0.69
-2.35,-0.1
-2.63,-0.55
-3.34,-0.77
-2.95,-1.97
-2.38,-1.77
-2.8,-1.12
-3.28,-0.54
-2.9,-1.04
-2.91,0.85
-3.48,-0.67
-3.2,-1.29
-2.9,-0.38
-2.91,1.7
-3.17,-1.39
-3.48,-1.24
-2.66,-0.48
-3.73,-0.83
-2.75,-0.37
-2.91,1.48
-3.15,-0.92
-3.15,-0.57
-4.01,-0.91
-3.35,-1.28
-2.23,-1.61
-2.99,-0.32
-2.81,0.07
-2.2,1.19
-2.86,-0.94
-3.39,-1.08
-1.86,0.22
-1.76,0.28
-2.3,-0.31
-1.5,-0.03
