Fe/H,Al/Fe
-2.17,-1.05
-3.29,-0.58
-0.7,0.38
-2.8,-0.54
-1.71,0.15
-2.45,-0.65
-2.86,-0.5
-2.39,0.15
-2.82,-0.36
-1.02,0.16
-1.81,0.12
-3.29,-0.37
-3.75,-1.0
-5.67,0.01
-3.46,-0.7
-3.7,-0.82
-3.32,-0.6
-3.03,-0.85
-3.21,-0.69
-2.7,-1.18
-3.69,-0.6
-3.54,-0.53
-4.02,0.36
-3.5,-0.67
-2.87,-0.62
-2.89,-0.96
-2.88,-0.32
-3.65,-0.4
-3.0,-0.38
-2.67,-0.88
-3.88,-1.02
-3.67,-0.58
-3.35,-0.9
-3.68,-0.38
-2.64,-0.6
-7.3,1.12
-2.6,-0.81
-5.0,-0.11
-3.64,-1.32
-2.32,-0.81
-2.32,-0.89
-2.56,-0.7
-3.17,-0.83
-3.36,-0.19
-3.83,-0.45
-3.03,-0.62
-3.79,-0.6
-3.02,-0.49
-1.59,-0.91
-2.81,-0.94
-2.62,-0.28
-3.11,-0.95
-2.71,-0.87
-2.87,-0.37
-3.4,-0.43
-3.97,-0.38
-2.55,-0.35
-2.63,-0.85
-2.22,-0.82
-2.94,-0.67
-3.42,-0.87
-3.37,-0.51
-3.71,-0.72
-3.26,-0.84
-3.4,-0.22
-3.44,-0.98
-2.33,-1.42
-3.09,-0.89
-2.97,-0.47
-3.2,-0.86
-2.5,-0.74
-2.72,-0.64
-2.77,-0.88
-3.41,-0.21
-2.48,-0.68
-3.18,-0.48
-2.62,-0.59
-2.08,-1.02
-3.63,-0.4
-2.4,-0.84
-2.64,-0.75
-3.11,-0.95
-3.18,-0.67
-2.99,-0.89
-1.48,-0.64
-2.62,-0.04
-1.86,-1.04
-1.98,-0.81
-2.9,-0.72
-2.59,-0.69
-2.1,-0.75
-2.63,-0.75
-3.03,-0.73
-2.64,-0.87
-2.52,-0.96
-2.81,-0.66
-3.44,-0.71
-2.35,-1.11
-2.54,-0.73
-2.73,-0.33
-2.56,-0.78
-2.76,-1.29
-2.58,-0.72
-2.26,-1.03
-3.15,-0.38
-2.71,-0.84
-2.61,-0.53
-2.79,-0.68
-2.66,-0.44
-2.24,-0.76
-2.48,-0.66
-2.2,-0.78
-3.58,-0.63
-2.5,-0.69
-2.51,-0.63
-2.77,-0.5
-2.76,-0.9
-2.17,-0.82
-2.46,-0.71
-3.0,-0.56
-2.99,-0.59
-3.89,-0.37
-3.65,-0.3
-2.99,-0.52
-3.11,-0.74
-2.4,-0.61
-3.33,-0.92
-2.62,-0.43
-3.39,-0.8
-1.29,-0.94
-2.43,-0.82
-2.31,-0.84
-2.58,-0.45
-3.22,-0.91
-3.25,-0.96
-3.12,-0.46
-2.61,-0.42
-2.62,-0.58
-1.89,-0.59
-2.4,-1.21
-3.41,-1.0
-2.56,-1.07
-2.87,-0.9
-2.38,-0.92
-3.48,-0.85
-3.35,-0.2
-2.53,-1.17
-2.9,-0.52
-2.75,-0.06
-3.73,-0.1
-3.1,-0.34
-2.75,-0.51
-3.36,-0.73
-2.98,-0.94
-2.88,-0.6
-3.29,-0.14
-3.08,-0.25
-2.67,-0.82
-3.11,-0.35
-2.88,-0.21
-3.18,0.03
-3.37,0.44
-3.05,-0.41
-3.3,-0.27
-3.01,-0.48
-3.6,-0.11
-2.84,-0.39
-2.35,-0.25
-2.63,0.45
-3.34,-0.22
-2.95,-0.31
-2.38,-0.44
-3.28,-0.1
-2.9,0.02
-2.91,-0.46
-3.48,0
-3.2,-0.42
-2.9,0.03
-3.29,0.31
-2.91,0.39
-3.17,-0.02
-3.48,-0.11
-2.66,-0.37
-3.73,-0.16
-2.75,-0.46
-2.91,0.3
-3.15,-0.5
-3.15,-0.19
-4.01,-0.09
-3.35,-0.19
-3.8,-0.14
-2.23,-0.49
-2.99,-0.09
-2.81,-0.41
-3.38,-0.48
-3.78,-0.63
-2.86,-0.31
-3.83,-0.82
-3.39,0.08
-2.06,-0.18
-1.86,-0.38
-1.76,0.35
-2.3,-0.73
