Fe/H,Zn/Fe
-2.44,0.41
-2.51,0.38
-2.81,0.66
-2.92,0.6
-2.38,1.33
-3.24,1.05
-3.21,1.07
-2.92,0.76
-2.06,0.6
-2.47,0.19
-2.32,0.35
-2.63,0.54
-2.64,0.8
-2.08,0.13
-2.78,0.29
-2.53,0.25
-2.08,0.18
-3.12,1.19
-3.22,0.52
-3.93,1.19
-3.3,0.85
-2.73,0.61
-2.82,0.56
-2.9,0.49
-3.05,0.32
-2.52,0.86
-2.48,0.08
-3.77,0.49
-2.42,0.55
-4.59,1.08
-2.68,0.39
-2.54,0.23
-2.29,0.15
-2.78,0.67
-2.33,0.08
-2.24,-0.16
-2.46,0.52
-2.18,0.01
-2.29,0.17
-3.38,1.24
-2.11,-0.11
-2.86,0.74
-2.17,1.13
-2.73,0.51
-2.35,0.18
-2.4,0.37
-2.61,0.31
-2.83,0.22
-2.62,0.3
-2.36,0.36
-2.96,0.26
-1.84,0.04
-2.26,0.02
-2.97,0.29
-3.29,0.43
-2.52,0.11
-2.97,0.29
-2.39,0.37
-1.99,0.06
-2.75,0.2
-2.29,0.21
-2.39,0.28
-1.58,0.05
-3.13,0.33
-1.51,0.05
-2.23,-0.21
-2.06,0.13
-2.21,0.18
-2.17,0.21
-2.16,0.11
-3.29,0.42
-2.8,0.29
-2.45,0.26
-2.03,0.13
-2.6,0.25
-2.16,0.13
-2.86,0.31
-2.82,0.32
-1.7,0.07
-2.03,0.15
-2.15,0.21
-2.58,0.48
-3.29,0.46
-3.75,0.33
-5.67,3.13
-3.46,0.4
-3.7,0.42
-3.32,0.39
-3.03,0.29
-3.21,0.19
-3.02,0.8
-3.07,1.4
-1.43,0.21
-3.87,1.8
-3.0,1.4
-6.01,3.1
-2.79,0.53
-3.5,0.52
-2.89,0.34
-2.88,0.36
-3.65,0.27
-3.0,0.27
-2.67,0.05
-3.88,0.7
-3.67,0.46
-3.35,0.44
-3.68,0.7
-3.41,0.47
-4.02,1.52
-2.6,0.19
-2.61,0.43
-2.85,0.17
-7.3,3.94
-3.17,0.5
-2.84,0.61
-2.79,1.3
-5.0,1.89
-2.32,0.17
-2.32,0.07
-2.56,0.09
-2.53,0.2
-3.83,0.72
-3.02,0.32
-1.59,-0.32
-2.81,0.35
-2.62,-0.11
-2.71,0.25
-2.87,0.44
-2.22,-0.12
-2.94,0.27
-3.4,0.64
-2.33,-0.33
-2.97,-0.03
-2.5,0.27
-2.72,0.12
-2.77,0.6
-2.48,0.13
-3.18,-0.03
-2.62,0.2
-3.18,0.29
-2.99,0.43
-2.64,0.28
-2.52,0.26
-2.76,0.41
-2.61,0.32
-2.79,0.23
-2.5,-0.03
-2.99,0.26
-1.29,-0.02
-2.43,0.11
-2.58,0.24
-3.22,0.71
-3.25,0.82
-3.12,0.47
-2.62,0.08
-1.89,-0.09
-2.38,0.17
-3.35,0.38
-2.53,0.09
-2.05,0.67
-2.75,-0.01
-2.24,0.06
-3.73,0.58
-3.1,0.27
-2.75,0.29
-2.24,0.14
-3.36,0.22
-2.98,0.24
-2.88,0.17
-2.19,0.06
-2.26,0.33
-2.52,0.42
-3.21,0.91
-3.29,1.04
-2.88,0.51
-3.18,0
-3.3,1.07
-3.15,1.08
-3.01,0.51
-3.6,0.93
-2.84,0.31
-2.72,0.62
-2.51,0.56
-2.35,0.15
-2.53,0.67
-2.63,0.3
-2.56,0.09
-3.34,0.49
-2.95,0.18
-2.38,-0.2
-2.8,0.12
-2.91,0.79
-3.48,0.98
-2.9,0.1
-2.91,0.38
-3.17,0.59
-3.48,0.59
-3.1,1.07
-2.66,0.32
-2.65,0.55
-3.8,0.95
-2.23,-0.27
-2.99,0.18
-3.02,0.94
-2.81,0.72
-3.78,0.85
-2.86,0.44
-3.83,0.33
-3.39,0.6
-2.24,0.39
-1.93,1.15
-2.58,0.84
-1.86,0.04
-2.3,0.04
-2.53,0.18
-2.05,0.12
-3.58,0.99
-2.14,-0.06
-2.08,0.18
