Fe/H,Co/Fe
-2.98,0.16
-3.32,0
-4.41,0.3
-4.12,0.02
-3.64,0.41
-4.1,0.38
-3.35,0.09
-2.92,0.25
-3.31,-0.55
-3.83,0.15
-3.87,-0.26
-2.34,0.11
-2.62,0.02
-2.35,0.26
-3.27,0.04
-3.22,0.24
-3.44,-0.22
-2.62,0.07
-2.02,-0.08
-2.81,0.14
-2.22,0.08
-2.54,-0.26
-3.29,0.25
-3.24,0.17
-2.41,-0.09
-2.97,-0.25
-2.43,-0.15
-3.22,0.18
-2.3,0.12
-1.98,-0.06
-2.38,0.03
-2.49,-0.06
-3.13,0.08
-2.07,0.08
-1.85,0.04
-3.67,0.14
-2.66,-0.19
-2.74,0.08
-2.81,-0.06
-2.0,-0.1
-2.59,-0.05
-2.85,0.23
-2.79,0.21
-2.34,-0.02
-2.73,0.12
-3.91,0.12
-3.1,0.13
-3.23,0.18
-1.7,0.01
-2.58,-0.02
-2.55,0.12
-2.62,0.03
-3.19,0.29
-2.92,-0.07
-2.14,0.01
-3.3,0.04
-2.77,-0.01
-2.03,-0.01
-2.9,-0.03
-2.73,0
-3.07,0.19
-2.58,0.16
-2.6,0.07
-2.74,0.46
-2.87,0.18
-2.32,-0.02
-2.6,0.29
-3.07,0.23
-2.61,0.25
-2.12,-0.09
-2.23,0.2
-2.78,0.23
-3.03,0.11
-2.4,0.01
-2.75,-0.02
-4.15,1
-2.2,0.12
-2.21,0.17
-1.61,0.04
-2.87,0.12
-2.26,0.24
-2.73,-0.27
-2.22,0.13
-2.94,-0.05
-1.93,0.08
-2.97,-0.05
-2.29,0.17
-2.37,0.04
-2.1,0.07
-2.93,0.14
-3.02,-0.12
-2.78,0.14
-2.63,0.33
-3.38,0.17
-3.55,0.04
-2.55,-0.19
-4.38,0.2
-2.85,0.04
-2.02,0.22
-2.78,0.17
-2.78,-0.25
-2.92,-0.1
-2.15,-0.03
-3.11,0.06
-3.43,0.18
-3.07,0.41
-3.34,0.33
-2.58,-0.2
-3.87,-0.12
-2.97,0.11
-2.32,0.06
-2.64,0.26
-2.46,0.1
-2.61,0.29
-1.83,0.07
-2.56,-0.17
-2.98,-0.15
-3.19,0.14
-2.62,-0.26
-2.48,-0.06
-3.18,-0.11
-2.02,0.14
-2.92,-0.36
-3.09,-0.39
-2.75,0.16
-3.2,-0.05
-3.0,-0.11
-2.7,0.33
-2.5,0.04
-2.72,0.06
-2.1,0.03
-2.27,0.01
-2.31,-0.22
-2.27,0.52
-2.06,-0.01
-1.71,0.11
-2.93,-0.16
-2.7,0.16
-3.12,-0.19
-4.28,0.29
-2.04,-0.38
-2.71,0.26
-2.85,0.2
-3.08,0.56
-2.85,0.06
-2.54,0.06
-3.63,0.54
-3.29,0.12
-3.0,0.14
-2.94,0.11
-2.86,0.5
-2.2,0.15
-2.85,0.19
-3.08,0.24
-2.92,0.05
-2.79,0.42
-2.71,0.17
-3.23,-0.02
-2.12,0.1
-3.03,0.22
-2.97,0.18
-2.92,0.08
-3.01,0.13
-2.55,-0.01
-3.02,0.25
-3.15,0.09
-2.66,0.1
-2.16,-0.01
-3.23,0.09
-3.28,0.22
-3.55,0.26
-2.79,0.28
-2.96,0.06
-2.48,0.09
-2.78,0.18
-2.73,0.06
-2.88,0.13
-3.71,0.39
-2.54,0.12
-3.09,0.01
-2.68,-0.03
-3.23,-0.05
-2.78,0.21
-2.99,-0.04
-3.12,0.16
-2.4,0.01
-2.96,0.1
-2.98,0.07
-2.84,0.28
-2.85,-0.1
-2.52,0.11
-2.85,0.07
-2.82,0.13
-2.41,0.02
-2.83,0.16
-3.51,0.2
-3.1,0.07
-3.14,0.08
-2.71,0.18
-2.95,-0.02
-2.63,0.16
-2.68,0.07
-2.64,0.09
-2.96,0.25
-2.89,0.09
-3.29,0.27
-2.82,0.36
-2.98,0.21
-2.84,0.25
-2.58,-0.05
-3.01,0.08
-2.74,0.1
-2.84,0.01
-3.14,0.17
-3.0,0.1
-3.1,0.16
-2.81,0.11
-2.73,0.13
-2.75,0.14
-2.71,0.01
-2.69,0.23
-3.19,0.02
-2.43,0.06
-2.91,0.21
-2.28,-0.06
-2.51,0.22
-3.1,0.38
-2.62,0.06
-2.29,0.08
-2.67,0.06
-2.6,-0.3
-2.67,0.11
-3.02,0.04
-3.05,0.16
-2.82,0.04
-2.56,0.02
-3.01,-0.05
-2.95,0.12
-3.17,0.43
-3.12,0.28
-2.57,0
-3.1,0.04
-2.89,0.04
-2.92,0.26
-2.76,0.08
-2.66,0.11
-2.44,0.05
-2.51,0.03
-2.81,0.18
-2.92,0.14
-2.72,0.14
-3.24,0.24
-3.21,0.05
-2.92,0.04
-2.47,-0.06
-2.32,-0.05
-2.63,0.02
-2.08,-0.11
-2.78,0.16
-2.53,0.08
-2.08,0.09
-3.3,-0.07
-3.12,0.19
-3.22,-0.1
-3.93,0.17
-2.9,0.26
-3.3,0.09
-2.73,-0.01
-2.82,0.09
-2.67,0.29
-3.37,0.53
-3.05,-0.02
-2.48,-0.13
-3.77,0.09
-2.42,0.21
-4.59,0.18
-2.5,0.23
-2.68,-0.2
-2.54,-0.16
-2.29,-0.08
-2.78,0.26
-2.24,0.4
-2.33,-0.05
-2.32,-0.21
-2.24,0.08
-2.46,-0.08
-2.29,-0.17
-3.38,0.62
-2.11,-0.29
-2.86,0.18
-2.29,0.23
-2.09,0.05
-2.17,-0.27
-2.73,0.16
-2.35,-0.04
-2.4,0.04
-2.83,0.35
-2.61,0.15
-2.83,0.12
-2.62,-0.13
-2.36,-0.05
-2.51,-0.2
-2.96,0.21
-1.84,-0.52
-2.26,-0.21
-2.97,-0.17
-3.29,-0.1
-2.52,-0.21
-2.97,-0.03
-2.58,0.27
-2.39,0.04
-1.99,-0.22
-2.75,-0.28
-2.29,0.01
-2.39,-0.18
-1.58,0.01
-3.13,0.13
-1.51,-0.02
-2.06,-0.22
-2.21,0.17
-2.17,-0.13
-2.16,0.04
-3.29,-0.08
-2.8,-0.22
-2.45,0.05
-2.6,-0.37
-3.07,0.09
-2.86,0.16
-2.39,-0.24
-2.82,-0.26
-1.7,0.2
-2.03,-0.26
-2.15,0.07
-3.29,-0.24
-3.75,-0.09
-4.08,0.23
-5.67,1.28
-3.46,0.31
-3.01,0.44
-3.7,0.19
-3.32,0.27
-3.03,0.21
-3.21,0.08
-3.02,0.3
-3.07,0.6
-3.87,1
-2.87,0.4
-3.86,0.83
-2.7,-0.31
-3.0,1
-3.69,0.29
-6.01,1.33
-3.17,0.99
-3.54,0.48
-2.93,0.69
-3.31,0.94
-2.79,0.61
-4.02,0.62
-3.5,0.18
-2.87,0.19
-2.89,0.45
-2.78,0.21
-2.88,0.1
-3.65,-0.04
-3.0,0.19
-3.88,0.23
-3.67,0.25
-3.35,0.33
-3.68,0.3
-3.41,0.06
-4.02,0.78
-2.6,-0.07
-2.61,0.08
-2.78,0.43
-2.85,0.07
-2.72,0.1
-2.65,0.27
-2.52,0.17
-2.64,-0.14
-2.74,0.07
-2.86,0.53
-2.53,0.26
-3.23,0.52
-3.03,0.28
-7.3,2.33
-3.17,0.01
-2.6,-0.09
-3.09,0.1
-3.85,1.04
-2.84,0.05
-2.79,0.26
-3.46,0.51
-3.22,0.87
-3.33,0.74
-3.03,0.43
-3.13,0.4
-5.0,1.71
-3.64,0.46
-3.23,0.04
-3.2,0.37
-3.01,0.57
-3.08,0.49
-3.36,0.09
-2.32,0.06
-2.32,-0.01
-2.56,0.2
-3.17,0.06
-2.53,0
-3.36,0.59
-3.83,0.28
-3.93,0.66
-3.03,0.14
-3.79,0.14
-3.02,0.16
-1.59,-0.04
-2.81,0.01
-2.62,-0.21
-3.11,0.25
-2.71,0.13
-2.87,0.05
-3.4,0.02
-3.97,0.28
-2.55,0.07
-2.63,0.02
-2.22,0.21
-2.94,0.23
-3.42,0.54
-3.37,0.48
-3.71,0.22
-3.26,0.11
-3.4,0.13
-3.44,0.2
-2.33,-0.3
-3.09,0.21
-2.97,-0.04
-3.2,0.11
-2.5,0.09
-2.72,0.08
-2.77,0.09
-3.41,0
-2.48,-0.02
-3.18,-0.0
-2.62,-0.01
-2.08,0.07
-3.63,-0.28
-2.4,-0.07
-2.64,0.24
-3.11,0.36
-2.34,-0.18
-3.18,0.1
-2.99,0.19
-1.48,0.18
-2.62,-0.04
-1.86,-0.24
-1.98,0.13
-2.9,0.37
-2.59,0.2
-2.1,-0.01
-2.62,0.46
-2.63,-0.0
-3.03,0.23
-2.64,0.41
-2.52,0.12
-2.81,0.31
-3.44,0.29
-2.35,-0.1
-2.54,-0.22
-2.73,-0.03
-2.56,0.2
-2.76,-0.3
-2.58,0.13
-2.26,-0.26
-3.15,0.04
-2.71,-0.13
-2.73,0.12
-2.61,0.09
-2.79,0.07
-2.66,0.06
-2.24,0.01
-2.48,0.01
-2.2,0.26
-3.58,-0.04
-2.5,-0.28
-2.51,-0.02
-2.77,0.07
-2.76,0.02
-2.17,0.64
-2.46,0.06
-3.0,-0.01
-2.99,0.07
-3.89,-0.18
-3.65,0.23
-2.99,-0.02
-3.11,0.28
-2.4,-0.09
-3.33,0.23
-2.62,1.55
-3.39,-0.01
-1.29,-0.04
-2.43,0.13
-2.31,0.03
-2.58,-0.11
-3.22,-0.12
-3.25,0.72
-3.12,0.28
-2.61,0.37
-2.62,0.26
-1.89,0.06
-2.4,-0.11
-3.41,0.33
-2.56,0.62
-2.87,-0.12
-2.38,0.07
-3.48,0.1
-3.35,-0.05
-2.53,0.33
-2.9,0.2
-2.41,0.31
-2.75,-0.11
-3.73,0.39
-3.1,0.08
-2.75,0.16
-3.36,0.19
-2.98,-0.17
-2.88,-0.03
-2.19,-0.54
-2.26,0.04
-2.52,0.06
-3.43,1.23
-3.21,0.27
-3.29,0.56
-3.08,0.24
-2.67,-0.49
-3.11,0.5
-2.88,0.01
-3.07,0.7
-3.18,0.2
-3.37,0.34
-2.98,0.3
-3.05,0.5
-3.3,0.4
-2.8,0.43
-3.01,0.61
-3.6,0.53
-2.99,0.38
-2.84,-0.01
-2.8,0.26
-2.72,0.32
-2.55,0.42
-2.45,-0.2
-2.51,0.15
-2.35,0.04
-2.53,0.48
-2.63,0.03
-2.56,0.24
-2.98,0.18
-2.56,0.01
-3.34,0.41
-2.95,0.05
-2.38,-0.33
-2.8,0.26
-2.43,0.29
-3.28,0.19
-2.97,0.75
-2.29,0.32
-2.9,0.16
-2.58,0.29
-2.91,0.28
-3.0,0.36
-3.48,0.41
-3.2,0.22
-2.9,-0.05
-2.55,0.02
-3.29,0.38
-3.17,0.22
-3.48,0.17
-2.28,0.24
-3.1,0.39
-2.66,0.29
-3.73,0.5
-2.75,0.12
-3.39,0.71
-3.15,0.48
-3.15,0.24
-4.01,1
-3.35,0.17
-2.65,0.03
-2.38,0.02
-3.8,0.14
-3.01,0.42
-2.23,0.25
-2.99,0.37
-2.66,0.29
-2.81,0.15
-2.68,0.08
-3.38,0.34
-3.78,0.59
-2.62,0.53
-3.32,0.67
-2.86,0.2
-3.83,0.54
-3.39,0.12
-2.31,0.19
-3.53,0.67
-2.24,0.28
-1.93,0.5
-2.58,0.27
-1.86,0.01
-2.3,0.15
-2.64,0.24
-2.53,-0.2
-2.05,-0.18
-3.58,0.34
-2.14,-0.16
-1.53,0.08
