Fe/H,Mg/Fe
-3.31,0.38
-2.1,0.14
-2.98,0.3
-2.2,0.18
-1.79,0.45
-2.52,0.37
-2.82,1.2
-2.33,0.08
-2.46,0.11
-2.47,0.26
-2.85,0.25
-2.82,0.09
-2.82,0.6
-3.45,0.28
-2.37,0.32
-2.14,0.14
-3.17,0.25
-2.71,0.28
-2.52,0.5
-3.36,0.26
-3.03,0.2
-2.38,0.28
-2.11,0.69
-2.52,1.41
-2.53,0.5
-3.3,0.36
-2.89,0.38
-2.64,0.84
-2.91,0.62
-2.41,0.3
-2.77,0.3
-2.2,0.6
-2.65,0.8
-3.41,0.54
-2.69,0.38
-2.54,0.3
-3.19,0.18
-3.06,0.41
-3.53,0.6
-3.18,0.41
-4.07,0.54
-4.06,0.82
-3.49,0.52
-2.68,0.05
-2.98,0.39
-3.32,0.67
-4.41,0.84
-4.12,0.58
-3.64,0.73
-4.1,0.14
-3.35,-0.01
-3.31,0.56
-3.83,0.6
-3.87,1.78
-2.35,0.35
-3.27,0.53
-3.22,0.58
-3.44,0.78
-2.81,0.3
-2.22,0.37
-2.47,0.29
-2.54,0.38
-3.29,0.49
-3.24,0.34
-2.41,0.37
-2.97,0.43
-2.43,0.2
-3.22,0.55
-2.81,0.36
-2.49,0.35
-3.13,0.6
-2.07,0.2
-1.85,0.16
-3.67,0.67
-3.14,1
-2.66,0.64
-2.74,0.27
-2.81,0.41
-2.59,0.17
-2.85,0.2
-2.79,0.35
-2.73,0.3
-3.64,0.77
-3.91,0.72
-3.1,0.28
-3.23,0.2
-1.7,0.15
-2.58,0.32
-2.55,0.44
-2.62,0.3
-3.19,0.21
-2.92,0.23
-3.3,0.5
-2.77,0.44
-2.27,0.78
-2.9,0.28
-2.73,0.41
-3.07,0.47
-2.58,0.3
-2.6,0.34
-2.87,0.22
-2.6,0.33
-3.07,0.31
-2.46,0.65
-2.61,0.56
-2.12,0.14
-2.78,0.31
-3.03,0.5
-2.4,0.17
-2.75,0.87
-2.21,0.2
-2.87,0.28
-2.26,0.12
-2.73,-0.09
-1.93,0.24
-2.97,0.22
-3.02,0.08
-2.78,0.3
-2.49,0.45
-2.63,0.42
-3.38,0.11
-3.55,0.4
-2.55,0.41
-4.38,1.56
-2.78,0.23
-2.92,0.47
-3.11,0.52
-2.82,0.64
-3.43,0.58
-3.34,0.44
-2.58,0.46
-3.87,0.3
-2.97,0.36
-2.64,0.14
-3.17,-0.12
-2.61,0.09
-2.56,0.27
-2.62,0.47
-2.98,0.47
-3.19,0.08
-1.24,0.59
-2.62,0.54
-2.48,0.71
-2.03,0.15
-3.18,0.45
-2.92,0.48
-3.09,0.6
-2.75,0.69
-3.2,0.49
-3.0,0.53
-2.1,0.42
-2.5,0.39
-2.72,0.7
-2.1,0.61
-2.73,0.45
-2.27,0.58
-2.31,0.49
-2.11,0.48
-2.06,0.36
-1.71,0.55
-2.93,0.46
-1.35,0.23
-2.15,0.5
-4.28,0.89
-2.04,-0.29
-2.92,0.46
-3.23,0.36
-3.23,0.66
-3.28,0.46
-3.55,0.5
-3.23,0.47
-2.99,0.51
-3.12,0.56
-2.85,0.39
-2.85,0.56
-3.51,0.55
-3.1,0.58
-3.14,0.58
-2.58,0.56
-2.84,0.48
-2.75,0.48
-3.19,0.49
-2.6,0.2
-2.76,0.42
-3.22,0.54
-3.93,0.45
-3.3,0.68
-2.9,0.7
-3.05,0.53
-2.13,0.27
-2.48,0.78
-2.02,0.25
-3.77,0.38
-2.13,0.6
-2.1,0.39
-4.59,0.66
-2.38,0.36
-2.65,0.37
-2.54,0.39
-0.63,0.27
-1.47,0.52
-2.62,0.5
-2.36,0.62
-2.51,0.16
-1.52,0.52
-0.72,0.43
-2.96,0.49
-1.84,0.36
-1.89,0.4
-2.26,0.3
-2.97,0.51
-1.81,0.45
-3.29,0.61
-2.52,0.48
-2.97,0.47
-1.45,0.31
-1.99,0.51
-2.75,0.63
-1.69,0.53
-2.39,0.41
-3.13,0.51
-1.51,0.27
-0.28,0.19
-1.32,0.46
-1.43,0.3
-2.23,0.36
-1.72,0.57
-2.21,0.65
-2.17,0.64
-2.16,0.37
-3.29,0.48
-0.7,0.34
-2.8,0.64
-1.71,0.41
-1.94,0.21
-2.45,0.21
-2.86,0.43
-1.69,0.29
-1.48,0.21
-2.39,0.16
-2.82,0.57
-1.7,0.69
-1.56,0.22
-1.02,0.41
-1.06,0.32
-1.44,0.5
-2.58,0.27
-1.93,0.41
-1.81,0.5
-3.29,0.63
-1.15,0.17
-3.75,0.4
-4.08,0.51
-5.67,0.4
-3.46,0.56
-3.7,0.55
-3.32,0.65
-3.03,0.44
-3.21,0.5
-1.43,0.17
-2.7,-0.38
-3.69,0.4
-3.54,0.89
-4.02,1.61
-3.5,0.46
-2.87,0.34
-2.89,0.4
-2.78,0.12
-2.88,0.59
-3.65,0.49
-3.0,0.63
-2.87,0.33
-2.67,0.72
-3.88,0.28
-3.67,0.2
-3.35,0.55
-3.68,1.2
-2.43,0.3
-3.41,0.41
-2.52,0.39
-2.64,0.75
-2.23,0.4
-2.58,0.45
-2.02,0.53
-2.36,0.21
-2.6,0.51
-2.66,0.24
-2.8,0.21
-2.62,-0.03
-3.32,0.23
-2.87,0.47
-2.64,0.15
-2.53,-0.02
-3.05,0.14
-4.34,0.4
-2.73,-0.33
-2.77,0.28
-5.0,0.44
-3.64,0.25
-3.03,0.77
-2.86,0.29
-3.32,0.92
-2.51,0.23
-3.29,0.32
-2.93,0.42
-3.17,0.69
-2.85,0.83
-3.43,0.96
-3.17,0.61
-2.55,0.42
-3.12,0.36
-2.32,0.41
-2.32,0.33
-2.56,0.5
-3.17,0.43
-2.53,0.44
-3.36,0.55
-3.83,0.59
-3.03,0.42
-3.79,0.56
-3.02,0.45
-1.59,-0.16
-2.81,0.42
-2.62,0.86
-3.11,0.56
-2.71,0.49
-2.87,0.51
-3.4,0.58
-3.97,0.62
-2.55,0.56
-2.63,0.32
-2.22,0.09
-2.94,0.68
-3.42,0.29
-3.37,0.64
-3.71,0.57
-3.26,0.48
-3.4,0.55
-3.44,0.63
-2.33,-0.17
-3.09,0.49
-2.97,0.4
-3.2,0.61
-2.5,0.39
-2.72,0.4
-2.77,0.24
-3.41,0.62
-2.48,0.31
-3.18,0.6
-2.62,0.45
-2.08,0.39
-3.63,0.61
-2.4,0.43
-2.64,0.33
-3.11,0.51
-2.34,0.06
-3.18,0.45
-2.99,0.46
-1.48,0.46
-2.62,0.32
-1.86,0.1
-1.98,0.48
-2.9,0.37
-2.59,0.46
-2.1,0.24
-2.62,0.44
-2.63,0.45
-3.03,0.56
-2.64,0.37
-2.52,0.4
-2.81,0.57
-3.44,0.54
-2.35,0.3
-2.54,0.45
-2.73,0.52
-2.56,0.42
-2.76,0.41
-2.58,0.34
-2.26,-0.04
-3.15,0.49
-2.71,0.4
-2.73,0.45
-2.61,0.32
-2.79,0.52
-2.66,0.66
-2.24,0.5
-2.48,0.31
-2.2,0.33
-3.58,0.44
-2.5,0.23
-2.51,0.27
-2.77,0.47
-2.76,0.33
-2.17,0.24
-2.46,0.38
-3.0,0.51
-2.99,0.52
-3.89,0.62
-3.65,0.5
-2.99,0.47
-3.11,0.45
-2.4,0.44
-3.33,0.34
-2.62,0.21
-3.39,0.67
-1.29,0.16
-2.43,0.42
-2.31,0.53
-2.58,0.57
-3.22,0.57
-3.25,0.24
-3.12,0.65
-2.61,0.38
-2.62,0.37
-1.89,0.39
-2.4,0.37
-3.41,0.41
-2.56,0.39
-2.87,0.48
-2.38,0.41
-3.48,0.06
-3.35,0.63
-2.53,0.31
-2.9,0.58
-2.75,0.39
-2.24,0.46
-3.73,0.82
-3.1,0.56
-2.23,0.17
-2.75,0.59
-2.05,0.42
-2.24,0.46
-2.19,0.42
-3.36,0.75
-2.98,0.27
-2.88,0.5
-2.1,0.37
-2.02,0.41
-2.21,0.21
-2.2,0.16
-2.12,0.27
-2.38,0.29
-2.03,0.29
-2.01,0.34
-2.19,0.43
-2.46,0.44
-2.11,0.37
-2.19,0.34
-2.66,0.3
-2.03,0.46
-2.05,0.3
-2.13,0.36
-2.18,0.36
-2.03,0.29
-2.25,0.42
-2.42,0.47
-2.91,0.15
-3.29,0.01
-3.08,0.33
-2.67,-0.26
-3.11,0.2
-2.88,0.43
-2.42,0.38
-3.18,0.52
-3.37,0.04
-3.05,0.16
-2.59,0.53
-3.3,0.39
-2.0,0.42
-3.01,0.26
-2.74,0.44
-3.6,0.39
-2.84,0.23
-2.35,0.36
-2.63,0.47
-3.34,0.48
-2.95,0.2
-2.38,0.34
-2.8,0.26
-3.28,0.62
-2.9,0.46
-2.91,0.3
-3.48,0.4
-3.2,0.16
-2.9,0.47
-3.29,0.82
-2.91,0.53
-3.17,0.1
-3.48,0.55
-2.66,0.45
-3.73,0.32
-2.75,0.31
-2.91,0.47
-3.15,0.42
-3.15,0.51
-4.01,0.44
-3.35,0.4
-3.8,0.54
-2.23,0.02
-2.99,0.54
-2.81,0.25
-3.38,-0.01
-3.78,0.28
-2.2,0.26
-2.86,0.44
-3.83,0.2
-3.39,0.62
-2.06,0.79
-1.86,0.88
-1.76,0.41
-2.3,0.72
