Fe/H,Mn/Fe
-3.12,-0.24
-2.16,-0.45
-3.0,-0.72
-2.9,-0.76
-2.97,-0.86
-3.06,-0.76
-2.44,-0.45
-2.75,-0.51
-2.91,-0.39
-2.67,-0.93
-3.81,-0.97
-3.4,-0.95
-2.61,-0.46
-2.89,-0.71
-3.23,-0.53
-2.65,-0.21
-2.73,-0.65
-2.86,-0.01
-3.28,-0.79
-2.95,-0.86
-2.08,-0.42
-3.25,-0.89
-3.02,-0.78
-3.33,-0.85
-3.14,-0.49
-2.84,-0.8
-4.15,-0.79
-2.88,-0.64
-3.15,-0.5
-3.31,-0.45
-2.98,-0.68
-2.52,-0.58
-2.82,-0.6
-2.33,-0.26
-2.46,-0.48
-2.47,-0.33
-2.85,-0.36
-2.82,-0.82
-2.82,-0.95
-3.45,-0.66
-2.37,-0.45
-3.17,-0.96
-2.71,-0.7
-3.36,-0.54
-3.03,-0.81
-2.38,-0.44
-2.53,-0.69
-3.3,-0.59
-2.89,-0.56
-2.91,-0.09
-2.41,-0.18
-2.77,-0.35
-3.41,-0.55
-2.69,-0.13
-3.19,-0.6
-3.06,-0.51
-3.53,-0.49
-3.18,-1.03
-4.07,-0.84
-4.06,-1.02
-3.49,-0.34
-2.68,-0.63
-2.98,-0.47
-3.32,-0.39
-4.41,-0.66
-4.12,-0.71
-3.64,0.03
-4.1,-0.91
-3.35,-0.69
-3.31,-0.58
-3.83,-0.46
-3.87,-0.45
-2.35,-0.6
-3.27,-0.59
-3.22,-0.29
-3.44,-0.33
-2.81,-0.54
-2.22,-0.32
-2.54,-0.28
-3.29,-0.4
-3.24,-0.96
-2.41,-0.78
-2.97,-0.68
-2.43,-0.38
-3.22,-0.23
-2.49,-0.44
-3.13,-0.39
-2.07,-0.35
-1.85,-0.32
-3.67,-0.64
-2.66,-0.15
-2.74,-0.41
-2.81,-0.45
-2.59,-0.73
-2.85,-0.49
-2.79,-0.77
-2.73,-0.59
-3.64,-0.22
-3.91,-0.7
-3.1,-0.57
-3.23,-0.59
-1.7,-0.34
-2.58,-0.43
-2.55,-0.64
-2.62,-0.48
-3.19,-0.6
-2.92,-0.6
-3.3,-0.02
-2.77,-0.38
-2.9,-0.76
-2.73,-0.75
-3.07,-0.47
-2.58,-0.51
-2.6,-0.57
-2.87,-0.58
-2.6,-0.72
-3.07,-0.78
-2.61,-0.4
-2.12,-0.4
-2.78,-0.73
-3.03,-0.57
-2.4,-0.62
-2.75,-0.63
-2.21,-0.33
-2.87,-0.55
-2.26,-0.29
-2.73,-0.31
-2.94,-0.08
-1.93,-0.23
-2.97,-0.98
-3.02,-0.28
-2.78,-0.65
-2.63,-0.18
-3.38,-0.99
-3.55,-0.03
-2.55,-0.07
-4.38,-0.64
-2.78,-0.74
-2.78,-0.67
-2.92,-0.39
-3.11,-0.45
-3.43,-0.42
-3.34,-0.83
-2.58,-0.48
-3.87,-0.45
-2.97,-0.42
-2.64,-0.67
-2.61,-0.49
-2.56,-0.49
-2.98,-0.48
-3.19,-0.12
-2.62,-0.5
-2.48,-0.25
-3.18,-0.38
-2.92,-0.44
-3.09,-0.47
-2.75,-0.33
-2.58,-0.38
-3.2,-0.36
-3.0,-0.49
-2.1,-0.6
-2.5,-0.33
-2.72,-0.4
-2.1,-0.33
-2.73,-0.65
-2.27,-0.29
-2.31,-0.4
-2.11,-0.59
-2.06,-0.35
-1.71,-0.36
-2.93,-0.46
-4.28,-1.05
-2.04,-0.32
-2.92,-0.59
-3.23,-0.07
-3.23,-0.61
-3.28,-0.31
-3.55,-0.61
-3.23,-0.29
-2.99,-0.32
-3.12,-0.39
-2.85,-0.32
-2.85,-0.22
-3.51,-0.44
-3.1,-0.4
-3.14,-0.4
-2.58,-0.21
-2.84,-0.23
-2.75,-0.48
-3.19,-0.38
-2.6,-0.06
-2.76,-0.37
-3.22,-0.38
-3.93,-0.17
-3.3,-0.71
-3.05,-0.38
-2.48,-0.38
-3.77,-0.4
-4.59,-0.9
-2.54,-0.36
-2.83,-0.57
-2.62,-0.4
-2.36,-0.24
-2.51,-0.25
-2.96,-0.57
-1.84,-0.38
-2.26,-0.39
-2.97,-0.37
-3.29,-0.49
-2.52,-0.4
-2.97,-0.36
-1.99,-0.45
-2.75,-0.71
-2.39,-0.48
-3.13,-0.34
-1.51,-0.37
-2.23,-0.72
-2.21,-0.23
-2.17,-0.41
-2.16,-0.36
-3.29,-0.55
-2.8,-0.43
-2.45,-0.44
-2.03,-0.4
-2.16,-0.53
-2.86,-0.74
-2.39,-0.4
-2.82,-0.49
-1.7,-0.41
-2.58,-0.48
-3.29,-0.53
-3.75,-0.82
-4.08,0.84
-5.67,0.32
-3.46,-0.46
-3.7,-0.55
-3.32,-0.41
-3.03,-0.25
-3.21,-0.32
-2.7,-0.35
-3.69,-0.79
-3.54,-0.32
-4.02,-0.58
-3.5,-0.08
-2.87,-0.63
-2.89,-0.14
-2.88,-0.83
-3.65,-1.25
-3.0,-0.41
-3.88,-0.84
-3.67,-0.68
-3.35,-0.72
-3.68,-0.96
-2.64,-0.42
-2.23,-0.35
-7.3,1.46
-2.6,-0.49
-5.0,0.23
-3.64,-0.56
-2.32,-0.06
-2.32,-0.13
-2.56,-0.44
-3.17,-0.35
-2.53,-0.41
-3.36,-0.25
-3.83,-0.69
-3.03,-0.23
-3.79,-0.52
-3.02,-0.18
-1.59,-0.08
-2.81,-0.17
-2.62,-0.53
-3.11,-0.17
-2.71,-0.27
-2.87,-0.18
-3.4,-0.59
-3.97,-0.57
-2.55,-0.16
-2.63,-0.33
-2.22,-0.18
-2.94,-0.27
-3.42,-0.4
-3.37,-0.43
-3.71,-0.29
-3.26,0.08
-3.4,-0.49
-3.44,-0.39
-2.33,-0.56
-3.09,-0.41
-3.2,-0.33
-2.5,-0.27
-2.72,-0.47
-2.77,-0.01
-3.41,-0.54
-2.48,-0.34
-3.18,-0.52
-2.62,-0.43
-2.08,-0.47
-3.63,-0.8
-2.4,-0.31
-2.64,-0.21
-3.11,-0.53
-2.34,0.7
-3.18,-0.43
-2.99,-0.29
-1.48,-0.5
-2.62,-0.62
-1.86,-0.73
-1.98,-0.47
-2.9,-0.56
-2.59,-0.45
-2.1,-0.71
-2.62,0.13
-2.63,-0.21
-3.03,-0.38
-2.64,-0.7
-2.52,-0.4
-2.81,-0.18
-3.44,-0.45
-2.35,-0.54
-2.54,-0.6
-2.73,-0.5
-2.56,-0.25
-2.76,-0.25
-2.58,-0.26
-2.26,-0.23
-3.15,-0.43
-2.71,-0.45
-2.73,-0.38
-2.61,-0.36
-2.79,-0.48
-2.66,-0.51
-2.24,-0.33
-2.48,-0.35
-2.2,-0.46
-3.58,-0.62
-2.5,-0.56
-2.51,-0.57
-2.77,-0.33
-2.76,-0.43
-2.17,-0.63
-2.46,-0.63
-3.0,-0.62
-2.99,-0.47
-3.89,-1.09
-3.65,-0.57
-2.99,-0.5
-3.11,-0.57
-2.4,-0.58
-3.33,-0.51
-2.62,-0.56
-3.39,-0.62
-1.29,-0.52
-2.43,-0.36
-2.31,-0.61
-2.58,-0.39
-3.22,-0.39
-3.25,-0.19
-3.12,-0.49
-2.61,-0.45
-2.62,-0.36
-1.89,-0.44
-2.4,-0.39
-3.41,-0.75
-2.56,-0.52
-2.87,-0.63
-2.38,-0.44
-3.48,0.07
-3.35,-0.47
-2.53,-0.32
-2.9,-0.06
-2.75,-0.56
-2.24,-0.44
-3.1,-0.43
-2.75,-0.7
-3.36,-0.65
-2.98,-0.42
-2.88,-0.46
-2.19,-0.63
-3.29,-0.32
-3.08,-0.76
-2.67,-1.0
-3.11,-0.89
-2.88,-0.7
-3.18,-1.03
-3.37,-0.96
-3.05,-0.6
-3.3,-0.58
-3.01,-1.55
-3.6,-0.89
-2.84,-0.94
-2.35,-0.5
-2.63,-0.57
-3.34,-0.98
-2.95,-0.78
-2.38,-0.46
-2.8,-1.27
-3.28,-0.93
-2.9,-0.83
-2.91,-0.08
-3.48,-0.92
-3.2,-0.69
-2.9,-0.93
-3.29,-0.7
-2.91,-0.14
-3.17,-0.79
-3.48,-1.02
-2.66,-0.62
-3.73,-0.36
-2.75,-0.77
-2.91,-0.34
-3.15,-0.64
-3.15,-0.87
-4.01,-0.09
-3.35,-1.05
-3.8,-1.15
-2.23,-0.15
-2.99,-0.8
-2.81,-0.52
-3.38,-0.66
-3.78,-0.76
-2.2,-0.28
-2.86,-0.84
-3.83,-0.53
-3.39,-1.0
-1.86,-0.25
-2.3,-0.29
