Fe/H,Sr/Fe
-2.07,-0.02
-1.85,0.13
-3.67,-0.44
-3.14,-0.88
-2.66,0.65
-2.74,-0.1
-2.81,0.16
-2.59,0
-2.85,0.38
-2.79,-0.43
-2.73,0.05
-3.64,-0.01
-3.91,-2.0
-3.1,0.68
-3.23,-0.39
-1.7,0.15
-2.58,-0.09
-2.55,-0.07
-2.62,-0.05
-3.19,-1.88
-2.92,-0.22
-3.3,-0.33
-2.77,0.24
-2.9,-0.28
-2.73,0.16
-3.07,-0.48
-2.58,0.33
-2.6,-0.0
-2.87,0.05
-2.6,0.29
-3.07,-0.09
-2.61,0.31
-2.12,-0.4
-2.78,-0.2
-3.03,-0.15
-2.4,-0.19
-2.75,1.75
-2.21,0.06
-2.87,-0.1
-2.26,-0.23
-2.73,-1.89
-2.94,0.23
-1.93,0.11
-2.97,-0.93
-3.02,-1.53
-2.78,0.2
-2.63,0.11
-3.38,-0.43
-3.55,-1.2
-2.55,0.08
-4.38,0.49
-2.78,-0.35
-2.78,-0.1
-2.92,-0.2
-3.11,-0.02
-3.43,-0.28
-3.34,-1.77
-2.58,0.29
-3.87,-0.65
-2.97,0.42
-2.64,-0.12
-2.61,-0.01
-2.56,-0.11
-2.98,-0.42
-3.19,-0.56
-2.62,0.35
-2.48,-0.08
-3.18,0.45
-2.92,0.01
-3.09,0.73
-2.75,-0.52
-3.2,-0.95
-3.0,-0.09
-2.5,-0.19
-2.72,-0.04
-2.0,0.28
-2.1,0.01
-2.27,0.11
-2.31,-0.12
-2.06,0.29
-1.71,0.05
-2.93,-0.37
-2.48,-0.18
-4.28,-0.55
-2.04,-0.89
-1.56,0.19
-2.36,-0.36
-1.74,0.42
-1.79,0.07
-1.62,0.4
-1.55,0.33
-1.53,0.06
-2.52,-0.45
-2.92,0.18
-3.23,-0.87
-3.23,-0.17
-3.28,0.01
-3.55,0.23
-3.23,-0.8
-2.99,-0.27
-3.12,-0.04
-2.85,-0.16
-2.85,0.03
-3.51,-0.14
-3.1,0.44
-3.14,0.28
-2.58,0.29
-2.84,0.13
-2.75,-0.1
-3.19,0.25
-2.6,-0.13
-2.31,0.64
-2.76,0.34
-3.22,-0.15
-1.77,0.15
-1.77,0.35
-3.93,-1.11
-2.62,-0.1
-2.19,-0.53
-1.99,0.22
-2.9,1.05
-3.05,-0.12
-2.48,1.65
-3.77,-0.91
-4.59,-0.63
-2.54,0.03
-2.83,-0.04
-2.62,0.17
-2.36,-0.16
-2.51,-0.02
-2.96,0.32
-1.84,-0.06
-2.26,0.22
-2.97,-0.15
-3.29,0.09
-2.52,-0.64
-2.97,0.07
-1.0,-0.07
-1.0,0.18
-1.99,0.14
-2.75,0.18
-2.39,0.94
-3.13,-0.12
-1.51,1.34
-1.5,-0.31
-1.7,0.25
-2.21,0.21
-2.17,-0.09
-2.16,0.14
-1.5,0.45
-3.29,-0.08
-2.8,0.43
-2.45,0.33
-2.86,0.01
-2.39,0.24
-2.82,0.28
-1.7,-0.1
-1.4,-0.22
-3.29,0.37
-3.75,-0.82
-4.08,-1.06
-3.46,-1.51
-3.7,-1.35
-3.32,-0.66
-3.03,0.11
-3.21,-0.67
-2.7,-0.38
-3.69,-0.37
-3.54,-0.84
-4.02,-0.56
-3.5,-0.35
-2.87,-0.19
-2.89,-0.48
-2.78,-0.85
-2.88,0.5
-3.65,-0.77
-3.0,-0.55
-2.67,0.8
-3.88,-0.6
-3.67,-1.0
-3.35,0.03
-3.68,-0.85
-3.41,0.29
-2.52,-0.05
-2.64,0.16
-2.23,0.41
-2.6,0.18
-2.66,0.03
-2.8,-0.95
-2.62,-1.26
-2.87,-0.4
-2.64,-0.65
-2.53,-0.75
-2.77,-0.03
-3.64,-1.24
-3.03,1.04
-2.86,-0.83
-3.32,-0.44
-2.93,-0.28
-3.17,0.02
-3.17,-1.1
-2.55,-0.33
-3.12,-0.48
-2.32,-0.03
-2.32,-0.25
-2.56,-0.16
-3.17,0.02
-2.53,0.11
-3.36,-1.57
-3.83,-0.99
-3.03,-0.18
-3.79,-0.79
-3.02,-0.28
-1.59,-0.38
-2.81,0.01
-2.62,-1.76
-3.11,-0.25
-2.71,0.05
-2.87,0.19
-3.4,-0.06
-3.97,1.08
-2.55,-0.85
-2.63,0.01
-2.22,-0.95
-2.94,-0.67
-3.42,-2.07
-3.37,-0.18
-3.71,-0.15
-3.26,-1.98
-3.4,0.28
-3.44,-0.21
-2.33,-0.53
-3.09,-0.33
-2.97,-0.32
-3.2,0.41
-2.5,0.14
-2.72,-0.4
-2.77,-0.03
-3.41,-0.56
-2.48,-0.62
-3.18,-1.16
-2.62,-0.03
-2.08,-0.14
-3.63,-1.01
-2.4,-0.18
-2.64,-0.17
-3.11,0.04
-2.34,0.35
-3.18,-0.03
-2.99,-0.2
-1.48,0.44
-2.62,-0.34
-1.86,-0.16
-1.98,0.1
-2.9,-0.59
-2.59,-0.14
-2.1,0.23
-2.62,-0.25
-2.63,-0.89
-3.03,-0.64
-2.64,-0.83
-2.52,0.25
-2.81,-0.29
-3.44,-0.58
-2.35,-0.42
-2.54,-0.3
-2.73,0.29
-2.56,-0.09
-2.76,-0.66
-2.58,-0.58
-2.26,-0.72
-3.15,0.16
-2.71,-0.38
-2.73,0.16
-2.61,0.14
-2.79,-0.31
-2.66,0.26
-2.24,0.2
-2.48,0.22
-2.2,-0.05
-3.58,0.02
-2.5,-1.08
-2.51,-0.43
-2.77,-0.0
-2.76,-0.47
-2.17,0.4
-2.46,0.21
-3.0,-0.23
-2.99,-0.11
-3.89,-1.77
-3.65,-1.52
-2.99,-0.5
-3.11,-0.43
-2.4,-0.04
-3.33,-0.72
-2.62,-0.09
-3.39,-2.33
-1.29,0.03
-2.43,-0.72
-2.31,-0.21
-2.58,0.2
-3.22,-0.2
-3.25,-0.1
-3.12,0
-2.61,-0.71
-2.62,-0.43
-1.89,-0.09
-2.4,0.18
-3.41,-0.56
-2.56,0.17
-2.87,-0.56
-2.38,-0.35
-3.48,-0.46
-3.35,-0.28
-2.53,-0.49
-2.9,-1.67
-2.75,-1.18
-2.24,0.48
-3.73,-2.26
-3.1,-0.22
-2.75,0.07
-3.36,-0.69
-2.98,-0.9
-2.88,-0.9
-2.06,0.39
-2.19,0.33
-2.91,-0.54
-3.29,-1.79
-3.08,-1.5
-2.67,-0.73
-3.11,-1.1
-2.88,0.21
-3.18,-0.26
-3.37,-0.08
-3.05,-0.13
-3.3,-0.35
-3.01,-1.43
-2.74,1.07
-3.6,0.13
-2.84,0.23
-2.35,-0.0
-2.63,-0.09
-3.34,0.32
-2.95,-2.05
-2.38,-1.99
-2.8,-0.32
-3.28,0
-2.9,-0.31
-2.91,0.45
-3.48,-1.03
-3.2,-1.69
-2.9,-0.86
-3.29,-2.18
-2.91,0.83
-3.17,-0.95
-3.48,-1.78
-2.66,0.12
-3.73,-1.22
-2.75,-0.13
-2.91,0.16
-3.15,0.31
-3.15,-0.42
-3.35,-1.73
-3.8,-2.36
-2.23,-1.92
-2.99,-0.33
-2.81,-0.07
-3.38,-0.92
-2.86,0.3
-3.83,-1.69
-3.39,0.55
-1.86,0.23
-2.3,0.11
