Fe/H,Ca/Fe
-2.88,0.04
-1.78,0.2
-3.34,0.37
-3.42,0.46
-2.13,0.34
-3.31,0.21
-2.81,0.22
-2.72,0.31
-2.82,0.42
-2.33,0.25
-3.04,0.32
-2.65,0.46
-3.0,0.37
-2.72,0.14
-2.08,0.35
-3.19,0.34
-2.35,0.27
-2.52,0.2
-2.52,0.33
-2.85,0.19
-2.41,0.21
-1.69,0.26
-3.1,0.24
-3.38,0.46
-2.4,0.3
-2.38,0.36
-3.06,0.17
-2.39,0.33
-2.79,0.23
-2.48,0.37
-2.61,0.28
-2.52,0.39
-2.52,0.28
-2.74,0.4
-2.01,0.31
-1.52,0.3
-3.01,0.15
-4.73,0.2
-2.75,0.21
-2.56,0.3
-2.68,0.26
-2.62,0.27
-3.22,0.59
-2.69,0.34
-4.17,0.88
-3.02,0.31
-2.65,0.42
-3.13,0.41
-2.96,0.38
-2.39,0.38
-2.39,0.39
-3.28,0.16
-3.06,0.21
-2.81,0.59
-2.88,0.39
-2.33,0.26
-2.29,0.29
-3.34,0.26
-2.08,0.4
-2.39,0.26
-2.8,0.32
-2.9,0.23
-2.42,0.49
-3.17,0.2
-2.65,0.52
-3.36,0.35
-2.69,0.35
-2.72,0.27
-2.71,0.36
-2.49,0.3
-2.38,0.33
-2.53,0.2
-2.31,0.41
-2.63,0.29
-2.32,0.3
-3.47,0.08
-3.21,0.31
-2.39,0.18
-3.12,0.04
-2.82,0.53
-2.57,0.55
-2.26,0.34
-2.16,0.17
-3.0,0.36
-2.9,0.3
-2.94,0.27
-3.43,0.6
-2.97,0.09
-3.06,0.22
-3.36,0.83
-2.84,0.49
-2.04,0.28
-2.44,0.3
-2.75,0.39
-1.96,0.29
-2.3,0.32
-2.91,0.26
-2.67,0.22
-2.97,0.51
-3.81,0.41
-3.4,0.41
-2.61,0.21
-2.89,0.26
-3.23,0.4
-2.65,0.04
-2.73,0.18
-2.86,-0.04
-3.28,0.5
-2.95,0.24
-2.08,0.31
-2.35,0.34
-2.64,0.29
-3.25,0.3
-2.6,0.31
-3.02,0.33
-3.33,0.34
-3.14,0.03
-2.84,0.18
-3.26,0.42
-4.15,0
-2.88,0.16
-3.15,0.39
-3.31,0.38
-2.1,0.21
-2.98,0.24
-1.79,0.52
-2.52,0.25
-2.82,0.37
-2.33,0.25
-2.29,0.42
-2.46,0.23
-2.64,0.32
-2.47,0.26
-2.34,0.46
-1.9,0.43
-2.85,0.32
-2.82,0.07
-2.82,0.36
-3.45,0.34
-2.97,0.31
-2.37,0.29
-3.42,0.71
-3.19,0.35
-3.17,0.3
-2.65,0.4
-2.71,0.49
-2.52,0.72
-3.36,0.4
-2.78,0.33
-3.03,0.25
-2.7,0.49
-2.6,0.39
-0.4,0.13
-2.38,0.35
-1.51,0.18
-2.52,0.9
-2.53,0.36
-3.3,0.4
-2.89,0.33
-2.71,0.4
-2.64,0.79
-2.91,0.57
-2.41,0.35
-2.77,0.36
-2.2,0.48
-2.65,1.05
-3.41,0.48
-2.69,0.3
-3.1,0.52
-2.54,0.21
-3.2,0.27
-3.19,0.19
-3.06,0.42
-3.53,0.49
-2.38,0.39
-3.18,0.28
-2.57,0.81
-3.71,0.42
-4.07,0.11
-0.08,-0.48
-4.06,0.77
-3.49,0.4
-2.68,0.37
-1.98,0.05
-2.98,0.36
-3.32,0.49
-2.5,0.53
-1.34,-0.21
-4.41,0.66
-4.12,0.49
-1.84,0.41
-3.64,0.15
-2.48,0.18
-1.83,0.08
-4.1,0.22
-3.35,0.13
-1.78,0.22
-2.1,0.35
-2.92,0.36
-3.31,0.45
-3.83,0.44
-3.87,0.53
-2.34,0.37
-2.62,0.44
-2.35,0.19
-3.27,0.45
-3.22,0.45
-3.44,0.47
-2.62,0.61
-2.02,0.4
-2.81,0.39
-2.22,0.42
-2.47,0.56
-2.54,0.52
-3.29,0.34
-3.24,0.34
-2.41,0.4
-2.97,0.26
-2.43,0.13
-1.61,0.26
-3.22,0.46
-2.69,0.37
-1.35,0.34
-2.3,0.45
-1.98,0.47
-2.38,0.32
-2.49,0.35
-3.13,0.45
-2.07,0.39
-1.85,0.29
-3.67,0.63
-3.14,0.33
-2.66,0.13
-2.74,0.2
-2.81,0.17
-2.0,0.33
-2.59,0.25
-2.85,0.4
-2.79,0.22
-2.34,0.41
-2.73,0.38
-3.64,0.59
-3.91,0.35
-3.1,0.32
-3.23,0.16
-1.7,0.21
-2.58,0.26
-2.55,0.25
-2.62,0.33
-3.19,0.24
-2.92,0.2
-2.14,0.4
-3.3,0.37
-2.77,0.45
-2.27,0.84
-2.03,0.33
-2.9,0.27
-2.73,0.38
-3.07,0.58
-2.58,0.31
-2.6,0.38
-2.74,0.25
-2.87,0.28
-2.32,0.41
-2.6,0.28
-3.07,0.37
-2.46,0.49
-2.61,0.4
-2.12,0.21
-2.23,0.51
-2.78,0.32
-3.03,0.41
-2.4,0.25
-2.75,0.43
-4.15,0.23
-2.2,0.25
-2.21,0.36
-1.61,0.38
-2.87,0.34
-2.26,0.2
-2.73,0
-2.22,0.31
-2.94,0.28
-1.93,0.3
-2.97,0.21
-2.29,0.31
-2.37,0.22
-2.1,0.28
-2.93,0.55
-3.02,0.18
-2.78,0.34
-2.49,0.52
-2.63,0.36
-3.38,0.38
-3.55,0.38
-2.55,0.35
-4.38,0.67
-2.85,0.48
-2.02,0.51
-2.78,0.25
-2.92,0.43
-2.15,0.46
-3.11,0.45
-2.82,0.43
-3.43,0.41
-3.07,0.34
-3.34,0.28
-2.58,0.46
-3.87,0.34
-2.97,0.28
-2.32,0.43
-2.64,0.24
-2.86,0.34
-1.45,0.53
-1.32,0.48
-3.17,1.13
-2.46,0.27
-2.61,0.37
-1.16,0.09
-2.31,0.22
-1.83,0.39
-2.56,0.19
-1.86,0.41
-2.98,0.41
-0.97,0.07
-3.19,0.31
-1.24,0.44
-2.62,0.53
-0.96,0.28
-1.94,0.24
-2.6,0.58
-2.67,0.48
-2.48,0.44
-2.03,0.24
-2.99,0.53
-3.18,0.48
-2.92,0.4
-3.09,0.48
-2.75,0.42
-3.2,0.47
-3.0,0.44
-2.3,0.38
-1.75,0.43
-2.7,0.39
-2.1,0.49
-2.5,0.34
-0.14,0.07
-2.72,0.5
-2.1,0.33
-2.81,0.45
-0.03,-0.02
-2.73,0.49
-2.27,0.44
-2.31,0.43
-0.95,0.32
-2.11,0.33
-0.95,0.34
-2.27,0.39
-0.62,0.11
-2.06,0.4
-1.61,0.42
-1.71,0.43
-2.68,0.47
-2.09,0.39
-0.62,0.32
-2.93,0.41
-2.7,0.51
-1.08,0.26
-2.45,0.33
-2.42,0.51
-1.96,0.42
-1.12,0.25
-1.35,0.17
-0.07,0
-0.61,0.28
-2.2,0.48
-2.15,0.38
-3.12,0.37
-1.79,0.23
-1.46,0.38
-4.28,0.51
-0.36,0.03
-0.89,0.26
-2.31,0.25
-2.04,-0.2
-2.71,0.44
-2.85,0.42
-3.01,0.49
-3.08,0.29
-2.85,0.49
-2.54,0.47
-3.63,0.54
-3.29,0.56
-3.0,0.55
-1.18,0.21
-2.94,0.54
-2.86,0.47
-2.2,0.47
-2.85,0.47
-3.08,0.54
-3.37,0.18
-2.92,0.34
-2.79,0.44
-2.71,0.46
-3.23,0.3
-2.12,0.5
-3.03,0.57
-2.97,0.43
-2.92,0.26
-3.01,0.56
-2.55,0.5
-3.02,0.59
-3.15,0.69
-2.66,0.51
-2.16,0.51
-2.03,0.18
-3.23,0.45
-3.28,0.42
-3.55,0.6
-2.79,0.35
-2.96,0.44
-1.89,0.39
-2.48,0.53
-1.65,0.28
-2.78,0.45
-0.37,-0.13
-2.73,0.5
-2.88,0.48
-3.71,0.43
-2.54,0.38
-3.09,0.63
-2.68,0.46
-3.23,0.38
-1.84,0.29
-2.78,0.49
-1.01,0.24
-2.99,0.5
-3.12,0.48
-2.4,0.49
-2.96,0.61
-2.98,0.43
-0.81,0.27
-2.84,0.39
-2.85,0.36
-2.52,0.45
-2.85,0.53
-2.82,0.48
-2.41,0.52
-1.16,0.22
-0.35,0.06
-2.83,0.32
-3.51,0.53
-0.68,0.61
-3.1,0.55
-3.14,0.54
-2.41,0.3
-2.71,0.32
-0.12,0.27
-1.22,0.52
-2.95,0.54
-2.63,0.49
-2.68,0.53
-2.64,0.49
-2.96,0.42
-2.89,0.41
-3.29,0.65
-2.82,0.44
-2.98,0.57
-2.84,0.52
-2.57,0.58
-2.58,0.51
-3.32,0.46
-3.01,0.54
-2.74,0.42
-2.84,0.47
-3.14,0.58
-3.0,0.56
-0.69,0.25
-0.4,0.97
-3.1,0.57
-2.81,0.6
-2.73,0.54
-2.06,0.37
-2.75,0.43
-2.71,0.5
-2.39,0.34
-2.69,0.52
-3.15,0.39
-3.19,0.51
-2.43,0.41
-2.91,0.49
-2.28,0.5
-2.51,0.32
-3.1,0.5
-2.62,0.56
-2.29,0.43
-2.67,0.41
-2.6,0.16
-2.67,0.45
-3.02,0.34
-3.05,0.47
-2.11,0.26
-2.82,0.58
-2.56,0.39
-3.01,0.41
-2.95,0.49
-3.17,0.54
-3.12,0.47
-2.57,0.53
-3.1,0.4
-2.89,0.57
-2.92,0.56
-2.76,0.43
-2.66,0.49
-2.44,0.57
-2.51,0.45
-2.81,0.48
-2.92,0.44
-2.72,0.51
-2.38,0.34
-3.24,0.64
-3.21,0.57
-2.92,0.48
-2.47,0.42
-2.32,0.48
-2.63,0.4
-2.64,0.41
-2.08,0.45
-2.78,0.44
-2.53,0.39
-2.08,0.39
-3.3,0.42
-3.12,0.37
-3.22,0.48
-3.93,0.37
-2.9,0.35
-3.3,0.61
-2.73,0.45
-2.82,0.47
-2.67,0.23
-2.9,0.47
-3.37,0.26
-3.05,0.5
-2.52,0.45
-0.6,0.18
-2.13,0.32
-2.48,0.4
-2.02,0.29
-3.77,0.33
-2.42,0.39
-3.14,0.49
-0.53,0.1
-2.55,0.35
-2.1,0.25
-4.59,0.48
-2.38,0.33
-2.65,0.35
-2.5,0.29
-2.68,0.37
-2.54,0.47
-2.29,0.32
-1.55,0.28
-2.69,0.05
-2.17,0.32
-1.1,0.19
-1.1,0.18
-2.78,0.39
-2.44,0.37
-2.24,0.13
-2.33,0.37
-2.32,0.07
-2.46,0.43
-2.18,0.39
-2.29,0.31
-3.38,0.62
-2.11,0.27
-2.86,0.47
-2.09,0.29
-2.17,-0.19
-2.73,0.47
-2.35,0.48
-1.7,0.15
-2.4,0.41
-1.56,0.2
-2.12,0.62
-2.83,0.45
-0.49,0.09
-1.23,0.22
-1.44,0.3
-0.92,0.2
-0.63,0.18
-1.47,0.42
-0.73,0.17
-2.61,0.48
-0.76,0.28
-0.84,0.25
-1.63,0.36
-2.62,0.49
-2.36,0.39
-2.51,0.3
-1.52,0.4
-1.24,0.33
-0.72,0.27
-0.8,0.2
-2.96,0.37
-1.84,0.49
-1.88,0.36
-0.65,0.17
-1.89,0.32
-0.66,0.2
-0.62,0.09
-2.26,0.33
-0.99,0.23
-1.69,0.2
-2.97,0.36
-1.81,0.37
-0.5,0.06
-0.69,0.26
-3.29,0.53
-1.23,0.31
-0.81,0.2
-2.52,0.43
-0.38,0.08
-0.47,0.07
-0.35,0.07
-1.57,0.34
-0.88,0.24
-0.76,0.21
-0.81,0.2
-1.55,0.15
-1.49,0.17
-2.97,0.39
-2.58,0.29
-0.95,0.36
-1.0,0.3
-1.17,0.33
-1.36,0.39
-0.81,0.25
-1.24,0.27
-0.63,0.25
-0.27,0.09
-0.48,0.02
-0.62,0.27
-0.74,0.39
-0.8,0.28
-1.69,0.38
-1.77,0.42
-0.62,0.17
-0.94,0.32
-1.47,0.36
-0.61,0.17
-1.54,0.35
-0.98,0.37
-0.52,0.11
-0.54,0.11
-0.73,0.26
-1.45,0.27
-2.39,0.46
-0.75,0.25
-1.99,0.53
-1.24,0.38
-0.56,0.21
-0.46,0.13
-2.75,0.5
-1.69,0.44
-1.65,0.27
-1.21,0.37
-0.72,0.26
-1.15,0.21
-2.29,0.43
-1.21,0.21
-0.63,0.13
-0.64,0.26
-1.09,0.33
-2.39,0.46
-1.1,0.24
-1.58,0.26
-3.13,0.47
-1.51,0.36
-0.94,0.44
-1.1,0.21
-0.73,0.27
-0.28,0.13
-1.32,0.23
-1.43,0.33
-2.23,0.24
-2.06,0.45
-1.72,0.41
-2.21,0.29
-1.78,0.38
-2.17,0.39
-1.52,0.33
-2.16,0.35
-0.8,0.18
-0.86,0.32
-0.79,0.25
-0.2,0.08
-0.89,0.26
-1.68,0.37
-1.08,0.29
-3.29,0.39
-0.7,0.26
-1.83,0.36
-1.24,0.27
-0.6,0.18
-0.97,0.21
-2.8,0.51
-1.71,0.29
-1.94,0.26
-2.45,0.33
-0.42,0.12
-1.66,0.32
-1.74,0.39
-1.57,0.36
-2.6,0.54
-3.07,0.48
-1.69,0.35
-1.48,0.38
-1.3,0.33
-0.15,0.05
-0.58,0.15
-0.6,0.02
-2.86,0.46
-1.69,0.28
-0.87,0.23
-1.48,0.27
-0.78,0.16
-0.82,0.3
-0.72,0.24
-0.38,0.07
-0.44,0.08
-2.39,0.46
-0.91,0.22
-0.86,0.2
-0.71,0.15
-2.82,0.46
-0.84,0.24
-1.7,0.45
-2.03,0.38
-0.84,0.22
-1.56,0.27
-1.02,0.37
-2.06,0.45
-0.56,0.11
-0.89,0.26
-1.06,0.3
-0.63,0.1
-0.8,0.28
-0.74,0.24
-0.61,0.13
-1.44,0.27
-0.06,0.01
-2.58,0.26
-1.93,0.39
-1.81,0.41
-3.29,0.44
-0.66,0.19
-1.08,0.28
-1.53,0.38
-0.46,0.16
-1.23,0.25
-1.15,0.19
-0.88,0.3
-0.45,0.08
-3.75,0.29
-4.08,0.65
-5.67,0.17
-3.46,0.51
-3.75,0.39
-3.1,0.42
-3.01,0.58
-3.7,0.46
-2.86,0.49
-3.32,0.43
-3.41,0.27
-3.03,0.47
-3.21,0.39
-3.02,0.5
-3.07,0.7
-1.43,0.6
-3.87,0.12
-2.87,0.4
-3.49,0.3
-2.84,0.39
-3.86,0.05
-2.71,0.44
-2.7,-0.25
-3.0,0.21
-2.85,0.17
-3.69,0.3
-6.01,0.93
-3.17,0.34
-3.54,0.2
-2.93,0.44
-3.63,0.61
-3.14,0.17
-3.31,0.74
-2.88,0.51
-2.79,0.39
-4.02,<0.7
-2.72,0.16
-3.5,0.45
-2.87,0.3
-2.89,0.24
-2.78,0.16
-2.88,0.45
-3.65,0.34
-3.0,0.49
-2.96,0.4
-2.87,0.44
-2.67,0.65
-3.88,0.29
-3.67,0.29
-3.35,0.43
-3.68,0.2
-2.43,0.34
-3.41,0.37
-4.02,0.37
-2.6,0.34
-2.61,0.45
-1.67,0.12
-2.78,0.22
-2.85,0.27
-2.72,0.36
-2.65,0.39
-2.52,0.58
-2.64,0.65
-2.74,0.41
-2.31,0.18
-3.05,0.44
-2.86,0.04
-2.23,0.45
-2.53,-0.49
-3.23,0.41
-3.03,0.43
<-7.3,>0.12
-2.58,0.34
-2.02,0.3
-2.36,0.23
-1.67,0.22
-1.38,0.12
-3.17,0.46
-2.6,0.37
-3.23,0.43
-3.09,0.54
-3.85,0.12
-2.84,0.46
-2.04,0.41
-2.79,0.35
-3.26,-0.21
-2.66,0.09
-2.65,-0.17
-2.81,0.52
-3.25,0.74
-3.12,0.3
-3.37,0.42
-2.71,0.15
-2.81,-0.05
-2.8,-0.01
-2.81,-0.34
-3.18,-0.04
-2.8,0.76
-3.32,0.07
-3.45,-0.2
-2.62,0.11
-3.65,-0.18
-2.89,0.39
-2.82,-0.01
-3.46,0.62
-2.92,-0.21
-3.18,0.33
-2.32,0.23
-2.59,-0.66
-3.71,1.22
-2.82,0.32
-2.92,0.4
-2.87,0.36
-2.75,0.33
-2.6,-0.13
-2.64,0.05
-3.01,-0.22
-3.38,0.3
-3.28,0.41
-2.88,0.23
-3.22,0.16
-3.46,-0.14
-3.17,0.07
-3.25,0.76
-3.2,0.54
-2.89,0.62
-3.24,0.41
-2.53,0.01
-3.05,-0.48
-3.52,0.42
-3.14,0.16
-3.09,0.13
-2.88,0.17
-3.14,0.45
-2.82,-0.03
-3.03,0.47
-2.96,-0.19
-3.26,-0.07
-4.34,0.42
-3.2,0.15
-3.29,0.81
-3.34,0.37
-2.87,0.48
-2.73,0.23
-2.77,0.23
-3.16,0.9
-3.65,0.5
-2.85,0.17
-2.9,0.48
-2.72,0.4
-5.0,0.25
-3.64,0.23
-3.03,-0.1
-3.49,0.55
<-2.86,>0.4
-3.42,0.21
-2.98,0.55
-2.97,-0.23
-3.19,0.18
-3.03,-0.03
-2.97,0.25
-3.08,0.39
-3.29,0.24
-3.21,-0.15
-3.4,0.89
-3.6,0.51
-2.9,0.28
-3.02,0.6
-4.09,0.31
-3.16,0.53
-2.86,0.31
-3.31,0.43
-3.34,0.41
-2.91,0.23
-2.79,0.49
-3.59,0.52
-3.06,0.27
-2.99,0.17
-3.34,0.1
-3.48,-0.05
-3.07,0.26
-3.3,0.28
-3.36,0.18
-2.86,0.31
-3.32,0.47
-3.57,-0.33
-3.19,0.8
-2.88,0.33
-3.39,0.57
-3.05,0.48
-2.56,-0.06
-3.24,0.49
-3.23,0.18
-2.51,0.24
-3.29,-0.02
-2.93,0.43
-3.17,0.49
-3.01,0.44
-2.85,0.54
-3.34,0.29
-2.8,0
-3.43,0.99
-2.75,0.84
-2.91,0.55
-2.88,0.9
-2.76,-0.21
-3.17,0.42
-2.42,0.37
-2.84,0.33
-2.55,-0.23
-3.2,0.49
-2.94,-0.04
-3.01,0.3
-3.09,-0.65
-3.08,0.1
-2.91,0.18
-3.12,-0.12
-3.36,0.39
-2.32,0.34
-2.32,0.26
-2.56,0.32
-3.17,0.17
-2.53,0.38
-3.36,0.43
-3.83,0.41
-3.93,0.55
-3.03,0.47
-3.79,0.46
-3.02,0.42
-1.59,0.05
-2.81,0.49
-2.62,0.07
-3.11,0.46
-2.71,0.46
-2.87,0.53
-3.4,0.26
-3.97,0.41
-2.55,0.27
-2.63,0.4
-2.22,0.17
-2.94,0.5
-3.42,0.23
-3.37,0.54
-3.71,0.43
-3.26,0.4
-3.4,0.49
-3.44,0.28
-2.33,-0.16
-3.09,0.42
-2.97,0.26
-3.2,0.42
-2.5,0.42
-2.72,0.35
-2.77,0.2
-3.41,0.28
-2.48,0.22
-3.18,0.24
-2.62,0.35
-2.08,0.38
-3.63,0.53
-2.4,0.45
-2.64,0.35
-3.11,0.43
-2.34,0.13
-3.18,0.48
-2.99,0.44
-1.48,0.45
-2.62,0.25
-1.86,0.23
-1.98,0.44
-2.9,0.37
-2.59,0.43
-2.1,0.32
-2.62,0.44
-2.63,0.23
-3.03,0.33
-2.64,0.31
-2.52,0.41
-2.81,0.32
-3.44,0.48
-2.35,0.3
-2.54,0.28
-2.73,0.44
-2.56,0.41
-2.76,0.36
-2.58,0.37
-2.26,0.15
-3.15,0.43
-2.71,0.35
-2.73,0.38
-2.61,0.33
-2.79,0.46
-2.66,0.43
-2.24,0.41
-2.48,0.36
-2.2,0.45
-3.58,0.3
-2.5,0.2
-2.51,0.33
-2.77,0.51
-2.76,0.36
-2.17,0.34
-2.46,0.32
-3.0,0.43
-2.99,0.35
-3.89,0.6
-3.65,0.44
-2.99,0.36
-3.11,0.46
-2.4,0.4
-3.33,0.38
-2.62,0.31
-3.39,0.36
-1.29,0.3
-2.43,0.38
-2.31,0.41
-2.58,0.44
-3.22,0.27
-3.25,0.18
-3.12,0.49
-2.61,0.19
-2.62,0.35
-1.89,0.25
-2.4,0.3
-3.41,0.48
-2.56,0.26
-2.87,0.28
-2.38,0.28
-3.48,0.34
-3.35,0.39
-2.53,0.3
-1.17,0.27
-2.9,0.39
-2.41,0.29
-2.75,0.25
-2.24,0.47
-2.78,0.4
-2.76,0.22
-3.73,0.33
-3.1,0.48
-2.23,0.28
-2.75,0.36
-2.05,0.39
-0.66,0.22
-2.24,0.25
-2.19,0.36
-3.36,0.42
-2.98,0.17
-2.88,0.35
-2.1,0.37
-2.12,0.36
-2.02,0.35
-2.21,0.26
-2.2,0.14
-2.12,0.25
-2.38,0.27
-2.03,0.27
-2.01,0.34
-2.19,0.23
-2.46,0.39
-2.11,0.36
-2.19,0.38
-2.66,0.33
-2.03,0.37
-2.05,0.34
-2.26,0.35
-2.13,0.27
-2.52,0.51
-2.18,0.22
-0.14,-0.3
-2.03,0.28
-2.25,0.33
-2.42,0.39
-3.43,0.57
-3.21,0.39
-4.73,0.03
-2.91,0.29
-3.29,-0.08
-3.08,0.05
-2.67,-0.13
-3.11,0.31
-2.88,0.35
-2.42,0.33
-3.07,0.42
-3.18,0.18
-3.37,0.33
-2.98,0.53
-3.47,0.3
-3.05,0.23
-2.59,0.71
-3.3,0.21
-3.63,0.36
-3.15,0.36
-2.0,0.4
-2.53,0.31
-3.52,0.36
-2.96,0.34
-2.8,0.01
-3.01,0.12
-2.74,0.18
-3.6,0.34
-2.99,0.48
-2.84,0.2
-2.8,0.16
-2.65,0.3
-2.93,0.49
-2.72,0.39
-2.55,0.22
-2.45,0.28
-2.51,0.34
-2.35,0.26
-2.53,0.32
-2.63,0.4
-2.56,0.29
-2.98,0.31
-2.56,0.38
-3.34,0.54
-2.82,0.38
-2.95,-0.03
-2.38,-0.27
-2.8,0.24
-2.43,0.23
-3.28,0.53
-2.97,0.46
-2.81,0.46
-2.29,0.17
-2.9,0.31
-2.58,0.27
-2.91,0.13
-3.0,0.21
-3.48,0.38
-3.2,0.05
-2.9,0.26
-2.55,0.22
-3.29,0.31
-2.91,0.38
-3.2,0.48
-3.17,-0.04
-3.48,0.45
-2.28,0.26
-3.1,0.41
-2.66,0.36
-3.73,0.14
-2.75,0.18
-2.91,0.49
-3.39,0.21
-3.15,0.35
-3.15,0.35
-4.01,-0.49
-3.35,0.52
-2.65,0.44
-2.38,0.27
-3.8,0.34
-3.01,0.17
-2.23,-0.24
-2.99,0.28
-3.02,0.18
-2.66,0.31
-2.81,0.22
-2.68,0.25
-3.38,-0.17
-3.78,0.42
-2.62,0.39
-2.2,0.17
-3.32,0.41
-2.86,0.33
-3.83,0.43
-3.39,0.24
-2.31,0.22
-3.53,0.45
-2.91,0.3
-2.24,0.28
-1.93,-0.2
-2.31,0.9
-2.58,0.39
-1.86,0.38
-1.64,0.03
-1.76,0.23
-2.3,0.41
-2.64,0.53
-1.73,0.29
-2.53,0.37
-2.05,0.26
-3.58,0.62
-2.14,0.3
-1.53,0.2
-2.08,0.21
