Fe/H,Ni/Fe
-2.9,-0.05
-2.42,-0.26
-2.65,-0.3
-3.36,0.14
-2.69,0
-2.72,0.21
-2.71,0.04
-2.49,-0.01
-2.38,-0.22
-2.53,0.04
-2.31,0.04
-2.63,-0.11
-3.47,-0.23
-3.12,0.38
-2.82,-0.11
-2.57,-0.22
-2.26,-0.21
-2.16,-0.53
-3.0,0.24
-2.9,0.18
-2.94,-0.07
-3.43,-0.06
-2.97,0.02
-3.06,-0.13
-3.36,-0.07
-2.84,0.07
-2.04,-0.07
-2.44,0.14
-2.75,-0.14
-1.96,-0.14
-2.3,-0.2
-2.91,-0.02
-2.67,0.46
-2.97,-0.13
-3.81,-0.02
-3.4,0.02
-2.61,-0.01
-2.89,-0.06
-3.23,-0.01
-2.65,0.36
-2.73,0.06
-2.86,0.74
-3.28,0.14
-2.95,0.05
-2.08,0.45
-2.35,0.08
-2.64,-0.06
-3.25,0.25
-2.6,-0.04
-3.02,0.05
-3.33,0.1
-3.14,0.33
-2.84,0.34
-3.26,0.03
-4.15,-0.12
-2.88,-0.08
-3.15,-0.09
-3.31,-0.06
-2.98,-0.21
-2.52,-0.06
-2.82,-0.02
-2.33,-0.15
-2.29,-0.05
-2.46,0.02
-2.64,0.04
-2.47,0.2
-2.34,-0.1
-1.9,-0.18
-2.85,-0.17
-2.82,-0.37
-2.82,0.02
-3.45,0.33
-2.97,0
-2.37,0.15
-3.17,0.02
-2.65,-0.2
-2.71,0
-3.36,0.06
-2.78,-0.06
-3.03,0.04
-2.7,-0.18
-2.6,0.07
-2.38,0.79
-2.53,0.13
-3.3,0.11
-2.89,-0.02
-2.71,-0.06
-2.41,-0.24
-2.77,0.1
-3.41,-0.01
-2.69,0.2
-3.1,-0.07
-3.2,0.17
-3.19,-0.11
-3.06,-0.03
-3.53,0
-3.18,0.05
-4.07,0.22
-4.06,-0.14
-3.49,0.08
-2.68,-0.03
-2.98,0.06
-3.32,0.15
-4.41,0.06
-4.12,0.08
-3.64,0.42
-4.1,0.1
-3.35,0.28
-2.1,0.14
-2.92,0.14
-3.31,0.06
-3.83,0.27
-3.87,-0.05
-2.34,0.54
-2.62,0.07
-2.35,-0.08
-3.27,0.08
-3.22,0.05
-3.44,-0.22
-2.02,-0.17
-2.81,-0.03
-2.22,-0.13
-2.47,0.02
-2.54,0.03
-3.29,-0.01
-3.24,-0.03
-2.97,0.2
-2.43,0.19
-3.22,0.31
-2.69,-0.04
-2.3,0.07
-1.98,-0.25
-2.38,-0.09
-2.49,-0.11
-3.13,0.27
-2.07,0.07
-1.85,-0.18
-3.67,-0.01
-2.74,-0.02
-2.81,-0.03
-2.0,-0.14
-2.59,0.01
-2.85,0.04
-2.79,0.06
-2.34,0.05
-2.73,0.03
-3.64,0.16
-3.91,-0.05
-3.1,-0.04
-3.23,0.38
-1.7,0.01
-2.58,0.07
-2.55,-0.06
-2.62,-0.03
-3.19,-0.03
-2.92,-0.07
-3.3,0.29
-2.77,0.12
-2.03,-0.13
-2.9,-0.12
-2.73,0.02
-3.07,-0.11
-2.58,-0.01
-2.6,-0.11
-2.74,-0.11
-2.87,-0.08
-2.32,-0.11
-2.6,0.04
-3.07,-0.04
-2.61,0.09
-2.12,-0.57
-2.23,-0.59
-2.78,0.12
-3.03,-0.08
-2.4,-0.14
-2.75,0
-4.15,0.24
-2.2,0.02
-2.21,0.09
-1.61,0.21
-2.87,0.15
-2.26,-0.09
-2.73,-0.04
-2.22,0.08
-2.94,0.08
-1.93,-0.33
-2.97,-0.3
-2.29,-0.01
-2.37,-0.04
-2.1,0.01
-2.93,0.08
-3.02,0.02
-2.78,0.06
-2.63,0.16
-3.38,0.34
-3.55,0.33
-2.55,-0.21
-4.38,0.1
-2.85,-0.14
-2.02,0.31
-2.78,-0.07
-2.78,-0.34
-2.92,0.06
-2.15,-0.19
-3.11,0.08
-3.43,-0.01
-3.07,0.11
-3.34,0.33
-2.58,-0.02
-3.87,-0.14
-2.97,0.15
-2.32,0.13
-2.64,0.24
-2.46,0.02
-2.61,0.15
-2.31,0.3
-1.83,-0.13
-2.56,-0.04
-2.98,0.01
-3.19,-0.03
-1.24,0.11
-2.62,0.01
-0.96,0.02
-1.94,0.13
-2.67,0.19
-2.48,-0.04
-2.99,-0.15
-3.18,0.19
-2.02,0.09
-2.92,0.06
-3.09,0.08
-2.75,0.03
-2.58,-0.03
-3.2,0.09
-3.0,0
-2.3,0.08
-1.75,0.1
-2.7,0.08
-2.1,0.17
-2.5,0.06
-0.14,0.05
-2.72,0.02
-2.1,-0.08
-0.03,-0.01
-2.73,0.02
-2.27,0.04
-2.31,0
-0.95,0.08
-2.11,-0.06
-0.95,0.09
-2.27,0.07
-0.62,0.09
-2.06,-0.06
-1.61,-0.09
-1.71,-0.01
-2.09,0.07
-0.62,0.15
-2.93,-0.02
-2.7,0.13
-1.08,-0.09
-2.45,0.13
-1.12,0.06
-1.35,-0.13
-0.07,0.01
-0.61,0.14
-2.2,-0.05
-2.15,-0.03
-3.12,-0.07
-1.79,-0.03
-1.46,0.01
-4.28,0.14
-0.36,0
-0.89,0.1
-2.31,0.07
-2.04,-0.06
-2.71,0.1
-2.85,-0.1
-3.01,-0.07
-3.08,0.08
-2.85,-0.1
-2.54,0.16
-3.63,0
-3.29,-0.22
-3.0,-0.02
-2.94,0.13
-2.86,-0.21
-2.85,0.09
-3.08,0.14
-2.92,-0.1
-2.79,-0.1
-2.71,-0.04
-3.23,0.11
-2.12,0.04
-3.03,0.05
-2.97,-0.07
-2.92,-0.04
-3.01,0.01
-2.55,0.01
-3.02,-0.02
-3.15,-0.01
-2.66,-0.04
-2.16,0.26
-3.23,0.28
-3.28,0.17
-3.55,-0.11
-2.79,0.08
-2.96,0.03
-2.48,0.09
-2.78,0.01
-2.73,-0.01
-2.88,-0.04
-3.71,0.21
-2.54,0.01
-3.09,0.04
-2.68,-0.11
-3.23,0.02
-2.78,0
-2.99,0.13
-3.12,0.03
-2.4,0.07
-2.96,0.01
-2.98,-0.05
-2.84,0.15
-2.85,0.03
-2.52,0.07
-2.85,0.16
-2.82,-0.01
-2.41,-0.12
-2.83,0.2
-3.51,0.06
-3.1,-0.06
-3.14,0.16
-2.71,0.09
-2.95,-0.08
-2.63,0.03
-2.68,-0.03
-2.64,0.02
-2.96,0.04
-3.29,-0.08
-2.82,0.1
-2.98,-0.02
-2.84,0.11
-2.58,0.17
-3.32,0.29
-3.01,0.03
-2.74,0.01
-2.84,0.19
-3.14,0.03
-3.0,-0.1
-3.1,0
-2.81,0.03
-2.73,0.03
-2.75,-0.11
-2.71,0.08
-2.39,0.11
-2.69,0.11
-3.15,0.1
-3.19,0.07
-2.43,0.04
-2.91,-0.04
-2.28,0.1
-2.51,0.06
-2.62,-0.01
-2.29,0.01
-2.67,0.05
-2.6,0.21
-2.67,-0.03
-3.02,-0.06
-3.05,-0.01
-2.82,-0.08
-2.56,-0.05
-3.01,-0.24
-2.95,0.01
-3.17,0.02
-3.12,0.02
-2.57,0.11
-3.1,0.03
-2.89,-0.04
-2.92,-0.04
-2.76,0.19
-2.66,0.02
-2.44,0.06
-2.51,0.13
-2.81,0.11
-2.92,-0.01
-2.72,0.07
-3.24,-0.03
-3.21,-0.01
-2.92,0.08
-2.47,0.07
-2.32,0.01
-2.63,-0.12
-2.64,0.15
-2.08,0.01
-2.78,0
-2.53,0.05
-2.08,-0.01
-3.3,0.03
-3.12,0.05
-3.22,0.06
-3.93,0.24
-2.9,0.05
-3.3,-0.09
-2.73,-0.07
-2.82,0.04
-2.67,0.23
-2.9,0.04
-3.37,0.27
-3.05,0.17
-2.52,0.28
-0.6,0.09
-2.48,-0.1
-3.77,0.08
-2.42,0.06
-3.14,0.14
-4.59,-0.11
-2.5,0.02
-2.68,-0.07
-2.54,0.09
-2.29,-0.04
-1.55,0.01
-2.69,0.31
-2.17,0.22
-1.1,-0.02
-1.1,-0.06
-2.78,0.06
-2.24,0.24
-2.33,0.14
-2.24,-0.06
-2.46,0.15
-2.29,0.12
-2.11,-0.07
-2.86,0
-2.29,0.17
-2.09,-0.04
-2.17,0.57
-2.73,0.05
-2.35,0.04
-1.7,-0.15
-2.4,0.11
-1.56,-0.06
-2.83,0.16
-0.49,-0.02
-1.23,0.02
-1.44,-0.05
-0.92,-0.09
-0.63,0.04
-1.47,0.01
-0.73,0.01
-2.61,0.18
-0.76,0.06
-2.83,-0.01
-0.84,0.11
-1.63,0.08
-2.62,0.07
-2.36,0.07
-2.51,-0.17
-1.52,0.03
-0.85,0.12
-1.24,0.06
-0.72,0.1
-0.8,0.06
-2.96,-0.01
-1.84,0
-0.65,0.03
-1.89,-0.01
-0.66,0.07
-0.62,-0.01
-2.26,-0.04
-0.99,0.07
-1.69,0.14
-2.97,0.16
-1.81,-0.02
-0.5,0.03
-0.69,0.08
-3.29,0.07
-1.23,-0.01
-0.81,0.01
-2.52,0.08
-0.38,0.01
-0.47,0.01
-0.35,-0.02
-1.57,0.07
-0.88,0.07
-0.76,0.01
-0.81,0.06
-1.55,-0.09
-1.49,-0.07
-2.97,0.27
-2.58,0.1
-0.95,0.1
-1.0,0.09
-1.17,0.17
-1.36,-0.06
-0.81,0.1
-1.24,0.01
-0.63,0.11
-0.27,0.01
-0.48,0
-0.62,0.13
-0.74,0.1
-0.8,0.05
-1.69,-0.04
-1.77,-0.04
-0.62,0.02
-0.94,0.07
-1.47,-0.02
-0.61,0.08
-1.54,-0.07
-0.98,-0.07
-0.52,0.06
-0.54,0.05
-0.73,0.05
-1.45,-0.06
-2.39,0.13
-0.75,0.07
-1.99,0.04
-1.24,0.03
-0.56,0.07
-0.46,0.06
-2.75,0.04
-1.69,0.02
-1.65,0.01
-1.21,0.08
-0.72,0.12
-1.15,-0.11
-2.29,0.05
-1.21,0
-0.63,0.02
-0.64,0.13
-1.09,-0.02
-2.39,-0.02
-1.1,0.06
-1.58,-0.06
-3.13,0.13
-1.51,0.08
-0.94,0.06
-1.1,0.02
-0.73,0.1
-0.28,0.15
-1.32,-0.07
-1.43,-0.1
-2.23,-0.11
-2.06,0.08
-1.72,0.03
-2.21,0.03
-1.78,0.05
-2.17,-0.04
-1.52,0.01
-2.16,0.1
-0.8,0.08
-0.86,0.1
-0.79,0.1
-0.2,0.01
-0.89,0.03
-1.68,-0.02
-1.08,0.06
-3.29,-0.05
-0.7,0
-1.83,0.08
-1.24,0.03
-0.6,0.07
-0.97,0.07
-2.8,0.05
-1.71,-0.04
-1.94,-0.07
-2.45,-0.07
-0.42,0.05
-1.66,0.01
-1.74,-0.04
-1.57,0.11
-2.03,-0.07
-2.6,-0.04
-3.07,-0.18
-1.69,0.12
-1.48,0
-1.3,-0.04
-2.16,-0.07
-0.15,0.03
-0.58,0.11
-0.6,-0.02
-2.86,-0.01
-1.69,-0.02
-0.87,0.07
-1.48,-0.06
-0.78,0
-0.82,0.05
-0.38,0.09
-0.44,0.04
-2.39,-0.23
-0.91,0.05
-0.86,0.06
-0.71,0.06
-2.82,0.08
-0.84,0
-1.7,-0.02
-2.03,-0.02
-0.84,0.05
-1.56,-0.08
-1.02,0.03
-0.56,0.03
-0.89,0.01
-1.06,0.06
-0.8,0.08
-0.74,0.09
-0.61,0.06
-1.44,0.01
-0.06,-0.04
-2.15,-0.03
-2.58,0.03
-1.93,0.11
-1.81,0.02
-3.29,0.04
-0.66,0.05
-1.08,-0.01
-1.53,0.09
-0.46,0.07
-1.23,0.15
-1.15,-0.06
-0.45,0.01
-3.75,-0.02
-4.08,0.16
-5.67,-0.28
-3.46,0.13
-3.75,0.49
-3.01,0.13
-3.7,-0.12
-2.86,-0.07
-3.32,0.05
-3.03,0.13
-3.21,0.01
-3.02,0.18
-3.07,0
-1.43,0.3
-3.87,0.17
-2.87,0.13
-2.84,0.12
-3.86,0.19
-2.71,-0.18
-2.7,-0.32
-3.0,0.16
-2.85,0.13
-3.69,-0.15
-6.01,0.24
-3.17,0.03
-3.54,0.38
-2.93,-0.04
-3.14,0.29
-3.31,0.06
-2.79,-0.03
-4.02,0.17
-2.72,0.17
-3.5,0.14
-2.87,-0.29
-2.89,0.39
-2.78,-0.07
-2.88,-0.1
-3.65,-0.22
-3.0,0.14
-2.96,0.1
-2.87,0.53
-3.88,-0.15
-3.67,0.14
-3.35,0.05
-3.68,-0.04
-3.41,-0.06
-4.02,0.67
-2.6,0
-2.61,0.09
-1.67,0.16
-2.78,0.2
-2.85,-0.21
-2.72,-0.13
-2.65,-0.04
-2.52,0.07
-2.74,-0.08
-2.31,-0.38
-3.05,0.13
-2.86,-0.07
-2.23,0.14
-2.53,0.1
-3.23,0.31
-3.03,0.29
-7.3,0.93
-1.67,-0.11
-1.38,-0.11
-3.17,-0.05
-2.6,0.07
-3.09,-0.05
-3.85,0.24
-2.84,-0.03
-2.79,0.23
-3.25,0.13
-3.37,0.09
-3.46,0.04
-3.22,0.3
-3.46,0.51
-3.52,0.24
-3.33,0.07
-3.03,0.35
-3.13,-0.11
-4.34,0.73
-5.0,0.43
-3.64,-0.08
-3.42,0.35
-3.4,0.03
-3.16,0.1
-3.48,0.34
-3.23,0.11
-3.2,0.01
-3.01,0.32
-3.08,0.24
-3.36,0.1
-2.32,0.01
-2.32,-0.03
-2.56,0.06
-3.17,0.04
-2.53,-0.16
-3.36,0.11
-3.83,-0.15
-3.93,0.3
-3.03,0.1
-3.79,-0.13
-3.02,-0.02
-1.59,-0.37
-2.81,0.01
-2.62,0
-3.11,-0.13
-2.71,0.03
-2.87,0.13
-3.4,-0.08
-3.97,-0.06
-2.55,0.08
-2.63,0.04
-2.22,0.01
-2.94,-0.14
-3.42,0.28
-3.71,0.05
-3.26,0.29
-3.4,0.14
-3.44,0.05
-2.33,-0.28
-3.09,0.27
-2.97,0
-3.2,0.01
-2.5,0.11
-2.72,-0.02
-2.77,0.22
-3.41,0.01
-2.48,0.05
-3.18,0.04
-2.62,-0.03
-2.08,0.04
-3.63,-0.11
-2.4,0.02
-2.64,-0.03
-3.11,0.13
-3.18,0.06
-2.99,0.13
-1.48,0.01
-2.62,0.42
-1.86,-0.17
-1.98,-0.03
-2.9,-0.06
-2.59,0.1
-2.1,-0.15
-2.62,0.03
-2.63,-0.11
-3.03,0.11
-2.64,0.11
-2.52,-0.09
-2.81,-0.11
-3.44,-0.28
-2.35,0.03
-2.54,0.05
-2.73,0.07
-2.56,-0.06
-2.76,0.09
-2.58,-0.14
-2.26,0.03
-3.15,0.18
-2.73,-0.01
-2.61,0.03
-2.79,0.25
-2.66,0.06
-2.24,0.08
-2.48,0.01
-2.2,0.03
-3.58,0.02
-2.5,0.05
-2.51,-0.11
-2.77,0.17
-2.76,-0.05
-2.17,-0.12
-2.46,0.04
-3.0,0.01
-2.99,0.05
-3.89,-0.35
-3.65,-0.01
-2.99,0.09
-3.11,-0.07
-2.4,0.02
-3.33,-0.3
-2.62,-0.07
-3.39,-0.24
-1.29,-0.07
-2.43,0.12
-2.31,0.04
-2.58,0.02
-3.22,-0.09
-3.25,0.65
-3.12,0.1
-2.61,0.34
-2.62,0.06
-1.89,-0.03
-2.4,0.23
-3.41,-0.13
-2.56,0.07
-2.87,0.02
-2.38,0.05
-3.48,0.15
-3.35,0.17
-2.53,0.08
-2.9,0.22
-2.41,0.07
-2.75,-0.22
-2.24,-0.01
-2.78,-0.02
-2.76,-0.16
-3.73,0.44
-3.1,0.1
-2.75,0.08
-2.24,0.09
-3.36,0.03
-2.98,0.12
-2.88,0.08
-2.19,0.03
-2.26,0.14
-2.52,0.07
-3.43,1.63
-3.21,0.1
-4.73,0.21
-3.29,0.32
-3.08,0.45
-2.67,-0.61
-3.11,0.18
-2.88,-0.13
-3.07,-0.05
-3.18,-0.36
-3.37,-0.25
-2.98,-0.32
-3.05,0.12
-3.3,-0.29
-2.8,0.05
-3.6,0.05
-2.99,-0.09
-2.84,-0.17
-2.8,-0.05
-2.72,0.02
-2.55,-0.19
-2.45,0.11
-2.51,0.08
-2.35,-0.07
-2.53,-0.14
-2.63,-0.44
-2.56,-0.11
-2.98,-0.29
-2.56,-0.12
-2.82,-0.04
-2.95,-0.15
-2.38,0.09
-2.8,-0.3
-2.43,0.01
-3.28,-0.02
-2.97,-0.2
-2.29,-0.13
-2.9,-0.46
-2.58,0.06
-2.91,0.2
-3.0,0.04
-3.48,-0.16
-3.2,0.01
-2.9,-0.14
-2.55,-0.4
-3.29,0.48
-3.17,-0.01
-3.48,-0.01
-2.28,-0.03
-3.1,0.16
-2.66,-0.19
-3.73,0.04
-2.75,-0.03
-3.39,0.09
-3.15,-0.01
-3.15,-0.17
-4.01,0.31
-3.35,-0.23
-2.65,-0.15
-2.38,-0.12
-3.8,-0.12
-3.01,-0.02
-2.23,-0.08
-2.99,-0.23
-2.66,-0.02
-2.81,0.09
-3.38,0.52
-3.78,0.17
-2.62,0.12
-2.2,0.12
-3.32,0.1
-2.86,-0.02
-3.83,0.17
-3.39,-0.3
-2.31,-0.08
-3.53,0.22
-2.24,0.09
-1.93,0.59
-2.58,0.3
-1.86,-0.03
-1.76,-0.1
-2.3,0.05
-2.64,0.18
-1.73,-0.13
-2.53,0
-2.05,-0.02
-3.58,0.13
-2.14,0.15
-1.53,0.19
-2.08,0.05
