Fe/H,Ti/Fe
-2.1,0.23
-2.5,0.38
-2.72,0.27
-2.1,0.35
-2.73,0.3
-2.27,0.31
-2.31,0.08
-2.11,0.11
-2.06,0.38
-1.71,0.31
-2.93,0.12
-1.35,0.28
-2.15,0.23
-4.28,0.23
-2.04,-0.35
-2.92,0.22
-3.23,0.09
-3.23,0.58
-3.28,0.22
-3.55,0.58
-3.23,0.27
-2.99,0.3
-3.12,0.32
-2.85,0.21
-2.85,0.39
-3.51,0.33
-3.1,0.5
-3.14,0.39
-2.58,0.31
-2.84,0.26
-2.75,0.25
-3.19,0.27
-2.6,0.09
-2.76,0.3
-3.22,0.17
-3.93,0.33
-3.3,0.27
-2.9,0.51
-3.05,0.26
-2.13,0.26
-2.48,0.42
-2.02,0.16
-3.77,0.12
-2.1,0.11
-4.59,0.49
-2.38,0.33
-2.65,0.26
-2.54,0.21
-0.63,0.37
-1.47,0.32
-2.62,0.18
-2.36,0.28
-2.51,0.14
-1.52,0.31
-0.72,0.34
-2.96,0.41
-1.84,0.1
-1.89,0.31
-2.26,0.15
-2.97,0.06
-1.81,0.25
-3.29,0.23
-2.52,0.17
-2.97,0.07
-1.45,0.27
-1.99,0.19
-2.75,0.12
-1.69,0.4
-2.39,0.26
-3.13,0.26
-1.51,0.29
-0.28,0.04
-1.32,0.34
-2.23,-0.08
-1.72,0.37
-2.21,0.28
-2.17,0.23
-2.16,0.37
-3.29,0.08
-0.7,0.34
-2.8,0.19
-1.71,0.35
-1.94,0.25
-2.45,0.29
-2.86,0.27
-1.69,0.3
-1.48,0.2
-2.39,0.38
-2.82,0.12
-1.7,0.39
-1.56,0.29
-1.02,0.17
-1.06,0.31
-1.44,0.34
-2.58,0.35
-1.93,0.46
-1.81,0.25
-3.29,0.04
-1.15,0.27
-3.75,0.09
-4.08,0.68
-5.67,0.06
-3.46,0.31
-3.7,0.15
-3.32,0.32
-3.03,0.19
-3.21,0.12
-1.43,0.38
-2.7,-0.29
-3.69,0.53
-3.54,0.53
-3.5,0.25
-2.87,0.31
-2.89,0.17
-2.78,0.21
-2.88,0.7
-3.65,0.11
-3.0,0.17
-2.87,0.35
-2.67,0.51
-3.88,-0.02
-3.67,0.35
-3.35,0.4
-3.68,0.26
-2.43,0.32
-3.41,0.17
-2.52,0.73
-2.64,0.5
-2.23,0.4
-2.58,0.35
-2.02,0.2
-2.36,0.24
-2.6,0.4
-2.66,0.32
-2.8,0.25
-2.62,0.13
-3.32,0.21
-2.87,0.48
-2.64,0.02
-2.53,0.2
-3.05,0.44
-4.34,0.87
-2.73,-0.1
-2.77,0.25
-5.0,0.38
-3.64,0.11
-3.03,0.04
-2.86,0.5
-3.32,0.33
-2.51,0.2
-3.29,-0.04
-2.93,0.23
-3.17,0.44
-2.85,0.18
-3.43,0.39
-3.17,0.28
-2.55,0.15
-3.12,0.27
-2.32,0.12
-2.32,0.11
-2.56,0.16
-3.17,0.11
-2.53,0.12
-3.36,0.18
-3.83,0.08
-3.03,0.3
-3.79,0.21
-3.02,0.24
-1.59,-0.04
-2.81,0.28
-2.62,0.19
-3.11,0.21
-2.71,0.25
-2.87,0.27
-3.4,0.06
-3.97,0.35
-2.55,0.13
-2.63,0.27
-2.22,0.19
-2.94,0.28
-3.42,0.17
-3.37,0.43
-3.71,0.11
-3.26,0.33
-3.4,0.35
-3.44,0.17
-2.33,-0.37
-3.09,0.24
-2.97,0.06
-3.2,0.31
-2.5,0.27
-2.72,0.19
-2.77,0.24
-3.41,0
-2.48,0.02
-3.18,0.04
-2.62,0.18
-2.08,0.17
-3.63,0.19
-2.4,0.16
-2.64,0.22
-3.11,0.17
-3.18,0.32
-2.99,0.24
-1.48,0.27
-2.62,0.29
-1.86,-0.01
-1.98,0.28
-2.9,0.3
-2.59,0.22
-2.1,0.08
-2.62,0.21
-2.63,0.1
-3.03,0.23
-2.64,0.06
-2.52,0.34
-2.81,0.18
-3.44,0.25
-2.35,0.06
-2.54,0.15
-2.73,0.16
-2.56,0.3
-2.76,0.11
-2.58,0.16
-2.26,-0.07
-3.15,0.23
-2.71,0.14
-2.73,0.21
-2.61,0.15
-2.79,0.32
-2.66,0.18
-2.24,0.28
-2.48,0.14
-2.2,0.16
-3.58,0.42
-2.5,-0.06
-2.51,0.07
-2.77,0.26
-2.76,0.22
-2.17,0.17
-2.46,0.21
-3.0,0.22
-2.99,0.17
-3.89,0.11
-3.65,0.27
-2.99,0.14
-3.11,0.26
-2.4,0.19
-3.33,0.29
-2.62,0.12
-3.39,0.35
-1.29,0.15
-2.43,0.17
-2.31,0.21
-2.58,0.19
-3.22,0.04
-3.12,0.32
-2.61,0.16
-2.62,0.14
-1.89,0.19
-2.4,0.11
-3.41,0.29
-2.56,0.14
-2.87,0.02
-2.38,0.06
-3.48,0.41
-3.35,0.29
-2.53,0.17
-2.9,0.28
-2.75,-0.01
-2.24,0.28
-3.73,0.54
-3.1,0.26
-2.23,0.19
-2.75,0.33
-2.05,0.16
-2.24,0.46
-2.19,0.15
-3.36,0.22
-2.98,-0.1
-2.88,0.1
-2.1,0.21
-2.02,0.22
-2.21,0.13
-2.2,0.07
-2.12,0.16
-2.38,0.19
-2.03,0.21
-2.01,0.16
-2.19,0.26
-2.46,0.18
-2.11,0.33
-2.19,0.32
-2.66,0.26
-2.03,0.22
-2.05,0.22
-2.13,0.19
-2.18,0.12
-2.03,0.18
-2.25,0.2
-2.42,0.26
-2.91,0.27
-3.29,0.11
-3.08,0.22
-2.67,-0.07
-3.11,0.44
-2.88,0.35
-2.42,0.19
-3.18,0.06
-3.37,0.53
-3.05,0.19
-2.59,0.8
-3.3,0.18
-2.0,0.17
-3.01,0.38
-2.74,0.46
-3.6,0.49
-2.84,0.29
-2.35,0.29
-2.63,0.32
-3.34,0.29
-2.95,0.07
-2.38,-0.21
-2.8,0.13
-3.28,0.48
-2.9,0.21
-2.91,0.43
-3.48,0.33
-3.2,0.21
-2.9,0.3
-3.29,0.11
-2.91,0.48
-3.17,0.17
-3.48,0.47
-2.66,0.37
-3.73,0.42
-2.75,0.29
-2.91,0.46
-3.15,0.45
-3.15,0.28
-4.01,-0.09
-3.35,0.34
-3.8,0.3
-2.23,-0.15
-2.99,0.4
-2.81,0.43
-3.38,0.1
-3.78,0.6
-2.2,0.32
-2.86,0.33
-3.83,0.31
-3.39,0.28
-1.86,0.49
-1.76,0.34
-2.3,0.38
